iter	RMSE
0	26955.70013
1	25751.95424
2	24585.27059
3	23501.61704
4	22464.54021
5	21494.60232
6	20546.81943
7	19666.37649
8	18786.69438
9	17925.56465
10	17151.15401
11	16394.72906
12	15676.71027
13	14975.36336
14	14301.12904
15	13686.60221
16	13095.91584
17	12547.1557
18	12030.91883
19	11512.44169
20	11030.03842
21	10541.05253
22	10086.22273
23	9667.047795
24	9261.372409
25	8863.751695
26	8485.432327
27	8117.235387
28	7772.775793
29	7434.600199
30	7118.317604
31	6822.759516
32	6528.719184
33	6266.130335
34	6004.724205
35	5762.209595
36	5524.311795
37	5299.089397
38	5093.065764
39	4904.670932
40	4710.570414
41	4525.60941
42	4355.278552
43	4191.677299
44	4033.634002
45	3884.157854
46	3739.14938
47	3602.905968
48	3473.495257
49	3346.746918
50	3232.27426
51	3120.503206
52	3012.766815
53	2917.908939
54	2825.199025
55	2735.81968
56	2649.715483
57	2568.357799
58	2495.202094
59	2424.327673
60	2357.404673
61	2290.384503
62	2227.327899
63	2166.487772
64	2112.781121
65	2063.46248
66	2012.465243
67	1964.372979
68	1917.820676
69	1874.57835
70	1833.809353
71	1797.20727
72	1760.74216
73	1724.165144
74	1690.264227
75	1661.878858
76	1633.273944
77	1606.847629
78	1582.926264
79	1555.154635
80	1532.119248
81	1508.996568
82	1488.302733
83	1467.848458
84	1445.807436
85	1426.884875
86	1408.609603
87	1389.052344
88	1370.341492
89	1353.515884
90	1337.063501
91	1319.117478
92	1301.957026
93	1287.145956
94	1273.315461
95	1258.818678
96	1243.709405
97	1230.425876
98	1220.514796
99	1209.677808
100	1198.979055
101	1187.989553
102	1176.224696
103	1165.867773
104	1154.94802
105	1146.029168
106	1137.040255
107	1127.840217
108	1117.839289
109	1110.066242
110	1101.781894
111	1093.259283
112	1084.588705
113	1078.531005
114	1070.432942
115	1062.992645
116	1055.707168
117	1048.701927
118	1041.254636
119	1034.140949
120	1027.8441
121	1018.517993
122	1011.88284
123	1005.41463
124	999.4455738
125	992.6164002
126	987.3538168
127	981.708939
128	976.281594
129	971.3524302
130	966.1706812
131	959.3607548
132	952.4039759
133	945.4576274
134	939.1042977
135	933.3348272
136	927.0294369
137	921.0551
138	915.1958335
139	910.205738
140	903.9780965
141	899.1848438
142	895.0807503
143	890.1697937
144	885.5337074
145	881.4457047
146	876.9699599
147	871.5189477
148	866.6886917
149	861.0875486
150	857.699511
151	852.9571292
152	848.4499833
153	844.9649325
154	841.2896944
155	836.3465305
156	832.8326024
157	829.8251267
158	826.4338528
159	822.1581775
160	818.4288946
161	814.6385778
162	810.1341375
163	806.3043575
164	802.6002051
165	798.7293688
166	795.770413
167	791.4301898
168	787.5064873
169	784.8998003
170	782.7306622
171	779.3665162
172	776.8428302
173	774.2450558
174	772.0714547
175	767.8049976
176	764.8605487
177	762.4102383
178	758.9232622
179	755.9021739
180	754.1138939
181	750.8199482
182	747.262895
183	744.3909888
184	742.0405294
185	739.9274146
186	736.9711464
187	733.5394296
188	731.1556349
189	729.1361397
190	726.4682155
191	723.5482461
192	722.0838537
193	719.3568134
194	717.1365831
195	714.1698074
196	710.7145223
197	707.7675631
198	705.2082509
199	703.1525529
