ISO3,Country,Group,Share_2024_pct,Share_2050_pct,Change_pp,Pop_2024,Pop_2050,Rank,Anchor
IDN,Indonesia,Madurese,3.0,2.91,-0.09,8504638,9341544,6,False
IDN,Indonesia,Betawi,2.9,2.82,-0.08,8221150,9030159,7,False
IDN,Indonesia,Minangkabau,2.7,2.62,-0.08,7654174,8407389,8,False
IDN,Indonesia,Bugis,2.7,2.62,-0.08,7654174,8407389,9,False
IDN,Indonesia,Bantenese,2.0,1.94,-0.06,5669759,6227696,10,False
IDN,Indonesia,Banjarese,1.7,1.65,-0.05,4819295,5293541,11,False
IDN,Indonesia,Balinese,1.7,1.65,-0.05,4819295,5293541,12,False
IDN,Indonesia,Acehnese,1.4,1.36,-0.04,3968831,4359387,13,False
IDN,Indonesia,Dayak,1.4,1.45,0.05,3968831,4662800,14,False
IDN,Indonesia,Sasak,1.3,1.26,-0.04,3685343,4048002,15,False
IDN,Indonesia,Chinese Indonesian,1.2,1.17,-0.03,3401855,3736617,16,False
IND,India,Hindi-speaking (North/Central Indo-Aryan),43.6,44.86,1.26,632608002,753515186,1,True
IND,India,Bengali,8.3,8.05,-0.25,120427670,135249154,2,False
IND,India,Marathi,6.9,6.69,-0.21,100114569,112436044,3,False
IND,India,Telugu (Dravidian),6.7,6.5,-0.2,97212698,109177028,4,False
IND,India,Tamil (Dravidian),5.7,5.53,-0.17,82703340,92881949,5,False
IND,India,Gujarati,4.6,4.46,-0.14,66743046,74957363,6,False
IND,India,Urdu-speaking (Muslim),4.2,4.36,0.16,60939303,73202695,7,False
IND,India,Kannada (Dravidian),3.6,3.49,-0.11,52233688,58662284,8,False
IND,India,Odia,3.1,3.01,-0.09,44979009,50514744,9,False
IND,India,Other Indo-Aryan,3.0,2.91,-0.09,43528074,48885236,10,False
IND,India,Malayalam (Dravidian),2.9,2.81,-0.09,42077138,47255729,11,False
IND,India,Punjabi,2.7,2.62,-0.08,39175266,43996713,12,False
IND,India,Scheduled Tribes (Adivasi),2.0,2.08,0.08,29018716,34858426,13,False
IND,India,Assamese,1.3,1.26,-0.04,18862165,21183602,14,False
IND,India,Other,0.9,0.87,-0.03,13058422,14665571,15,False
IND,India,Other Dravidian,0.5,0.49,-0.01,7254679,8147539,16,False
IRL,Ireland,Irish,76.6,75.84,-0.76,4025342,4527548,1,True
IRL,Ireland,Other White British,10.2,10.54,0.34,536012,629189,2,False
IRL,Ireland,Other EU (Romanian/Lithuanian),4.0,4.13,0.13,210201,246741,3,False
IRL,Ireland,Polish,3.0,3.1,0.1,157650,185056,4,False
IRL,Ireland,Asian (other),1.7,1.76,0.06,89335,104865,5,False
IRL,Ireland,Other,1.3,1.34,0.04,68315,80191,6,False
IRL,Ireland,African (other),1.1,1.13,0.03,57805,67206,7,False
IRL,Ireland,Indian,0.9,0.93,0.03,47295,55517,8,False
IRL,Ireland,Filipino,0.7,0.72,0.02,36785,43180,9,False
IRL,Ireland,Nigerian,0.5,0.51,0.01,26275,30548,10,False
IRN,Iran,Persian,59.0,59.49,0.49,54024965,60593429,1,True
IRN,Iran,Azeri,16.0,15.44,-0.56,14650838,15725733,2,False
IRN,Iran,Kurd,10.0,10.32,0.32,9156774,10512651,3,False
IRN,Iran,Lur,6.0,5.79,-0.21,5494064,5897150,4,False
IRN,Iran,Gilaki/Mazandarani,2.5,2.41,-0.09,2289193,2457146,5,False
IRN,Iran,Baloch,2.2,2.27,0.07,2014490,2312783,6,False
IRN,Iran,Arab,2.0,2.06,0.06,1831355,2102530,7,False
IRN,Iran,Turkmen,1.5,1.45,-0.05,1373516,1474287,8,False
IRN,Iran,Other,0.8,0.77,-0.03,732542,786287,9,False
IRQ,Iraq,Arab (Shia),55.0,56.41,1.41,25323108,40577714,1,True
IRQ,Iraq,Arab (Sunni),18.0,17.62,-0.38,8287563,12674338,2,False
IRQ,Iraq,Kurdish,18.0,17.62,-0.38,8287563,12674338,3,False
IRQ,Iraq,Other,5.5,5.03,-0.47,2532311,3620714,4,False
IRQ,Iraq,Turkmen,2.0,1.96,-0.04,920840,1408260,5,False
IRQ,Iraq,Assyrian/Chaldean,1.0,0.86,-0.14,460420,621330,6,False
IRQ,Iraq,Yazidi,0.5,0.49,-0.01,230210,352065,7,False
ISL,Iceland,Icelandic,81.3,80.61,-0.69,319837,349042,1,True
ISL,Iceland,Other European,6.0,6.22,0.22,23604,26937,2,False
ISL,Iceland,Polish,5.6,5.81,0.21,22031,25142,3,False
ISL,Iceland,Other,4.8,4.98,0.18,18883,21550,4,False
ISL,Iceland,Danish,1.0,1.04,0.04,3934,4490,5,False
ISL,Iceland,Lithuanian,0.7,0.73,0.03,2754,3143,6,False
ISL,Iceland,Filipino,0.6,0.62,0.02,2360,2694,7,False
ISR,Israel,Jewish (Non-Haredi),59.2,58.73,-0.47,5557113,7689449,1,True
ISR,Israel,Arab Muslim (incl. Bedouin),16.8,17.06,0.26,1577019,2233094,2,False
ISR,Israel,Jewish (Haredi/Orthodox),14.0,14.21,0.21,1314182,1860912,3,False
ISR,Israel,Other (incl. migrant workers),6.7,6.87,0.17,628930,899168,4,False
ISR,Israel,Arab Christian,1.7,1.61,-0.09,159579,211264,5,False
ISR,Israel,Druze,1.6,1.52,-0.08,150192,198837,6,False
ITA,Italy,Italian,88.5,88.02,-0.48,52518440,45674205,1,True
ITA,Italy,Other,6.0,6.26,0.26,3560572,3246832,2,False
ITA,Italy,Romanian,2.0,2.09,0.09,1186857,1082277,3,False
ITA,Italy,Albanian,1.5,1.56,0.06,890143,811708,4,False
ITA,Italy,Moroccan,1.2,1.24,0.04,712114,643164,5,False
ITA,Italy,Chinese,0.8,0.83,0.03,474743,432911,6,False
JAM,Jamaica,Black (African descent),92.1,92.3,0.2,2614887,2265983,1,True
JAM,Jamaica,Mixed,6.1,5.94,-0.16,173190,145906,2,False
JAM,Jamaica,Other,1.0,0.97,-0.03,28392,23919,3,False
JAM,Jamaica,East Indian,0.8,0.78,-0.02,22713,19135,4,False
JOR,Jordan,Transjordanian Arab,40.0,41.65,1.65,4621154,6816914,1,True
JOR,Jordan,Jordanian of Palestinian origin,30.0,29.31,-0.69,3465866,4797127,2,False
JOR,Jordan,Syrian,13.0,12.7,-0.3,1501875,2078755,3,False
JOR,Jordan,Palestinian,7.0,6.84,-0.16,808702,1119330,4,False
JOR,Jordan,Egyptian,7.0,6.84,-0.16,808702,1119330,5,False
JOR,Jordan,Other Arab,1.5,1.37,-0.13,173293,224249,6,False
JOR,Jordan,Circassian/Chechen/Armenian,1.5,1.29,-0.21,173293,211651,7,False
JPN,Japan,Japanese,97.4,97.32,-0.08,120535462,102307354,1,True
JPN,Japan,Other,1.0,1.05,0.05,1237530,1104415,2,False
JPN,Japan,Chinese,0.8,0.84,0.04,990024,883532,3,False
JPN,Japan,Korean,0.4,0.37,-0.03,495012,386095,4,False
JPN,Japan,Filipino,0.4,0.42,0.02,495012,441766,5,False
KAZ,Kazakhstan,Kazakh,70.4,72.66,2.26,14497172,19286184,1,True
KAZ,Kazakhstan,Russian,15.5,13.61,-1.89,3191849,3613335,2,False
KAZ,Kazakhstan,Other,6.3,6.33,0.03,1297332,1680413,3,False
KAZ,Kazakhstan,Uzbek,3.2,3.18,-0.02,658962,845390,4,False
KAZ,Kazakhstan,Ukrainian,2.0,1.76,-0.24,411851,466237,5,False
KAZ,Kazakhstan,Uyghur,1.5,1.49,-0.01,308889,396277,6,False
KAZ,Kazakhstan,German,1.1,0.97,-0.13,226518,256430,7,False
KEN,Kenya,Kikuyu,17.1,19.15,2.05,9650034,16004730,1,True
KEN,Kenya,Luhya,14.3,13.87,-0.43,8069911,11592630,2,False
KEN,Kenya,Kalenjin,13.4,13.0,-0.4,7562015,10863024,3,False
KEN,Kenya,Luo,10.7,10.38,-0.32,6038325,8674206,4,False
KEN,Kenya,Kamba,10.1,9.79,-0.31,5699728,8187802,5,False
KEN,Kenya,Other,7.8,7.56,-0.24,4401770,6323253,6,False
KEN,Kenya,Somali,6.8,7.05,0.25,3837440,5896254,7,False
KEN,Kenya,Kisii,5.7,5.53,-0.17,3216678,4620839,8,False
KEN,Kenya,Mijikenda,5.2,5.04,-0.16,2934513,4215502,9,False
KEN,Kenya,Meru,4.2,4.07,-0.13,2370184,3404829,10,False
KEN,Kenya,Turkana,2.5,2.42,-0.08,1410824,2026684,11,False
KEN,Kenya,Maasai,2.2,2.13,-0.07,1241525,1783482,12,False
KGZ,Kyrgyzstan,Kyrgyz,73.8,75.24,1.44,5303278,7255338,1,True
KGZ,Kyrgyzstan,Uzbek,14.8,14.57,-0.23,1063530,1405129,2,False
KGZ,Kyrgyzstan,Russian,5.9,5.13,-0.77,423975,494283,3,False
KGZ,Kyrgyzstan,Other,4.4,4.05,-0.35,316185,390558,4,False
KGZ,Kyrgyzstan,Dungan,1.1,1.01,-0.09,79046,97640,5,False
KHM,Cambodia,Khmer,92.3,92.0,-0.3,16280616,20177177,1,True
KHM,Cambodia,Vietnamese,4.7,4.92,0.22,829024,1078652,2,False
KHM,Cambodia,Cham (Muslim),2.0,2.07,0.07,352776,454617,3,False
KHM,Cambodia,Chinese,0.5,0.52,0.02,88194,114750,4,False
KHM,Cambodia,Other,0.5,0.48,-0.02,88194,106259,5,False
KIR,Kiribati,I-Kiribati,95.8,95.91,0.11,128871,175161,1,True
KIR,Kiribati,Mixed / Other,4.2,4.09,-0.11,5650,7474,2,False
KNA,Saint Kitts & Nevis,African descent,92.5,92.73,0.23,43352,41057,1,True
KNA,Saint Kitts & Nevis,Mixed,3.0,2.92,-0.08,1406,1295,2,False
KNA,Saint Kitts & Nevis,European,2.1,1.93,-0.17,984,855,3,False
KNA,Saint Kitts & Nevis,Indian,1.5,1.46,-0.04,703,647,4,False
KNA,Saint Kitts & Nevis,Other,0.9,0.95,0.05,422,419,5,False
KOR,South Korea,Korean,96.3,96.12,-0.18,49804036,43390798,1,True
KOR,South Korea,Other (incl. foreign workers),2.2,2.31,0.11,1137787,1041930,2,False
KOR,South Korea,Chinese,1.5,1.57,0.07,775764,710407,3,False
KWT,Kuwait,Kuwaiti,31.0,31.92,0.92,1529697,2032457,1,True
KWT,Kuwait,Other foreign,21.0,20.72,-0.28,1036247,1319439,2,False
KWT,Kuwait,Indian,14.0,13.81,-0.19,690831,879626,3,False
KWT,Kuwait,Egyptian,10.0,9.87,-0.13,493451,628304,4,False
KWT,Kuwait,Bangladeshi,8.0,7.89,-0.11,394761,502643,5,False
KWT,Kuwait,Pakistani,6.0,5.92,-0.08,296070,376983,6,False
KWT,Kuwait,Filipino,5.0,4.93,-0.07,246725,314152,7,False
KWT,Kuwait,Syrian,3.0,2.96,-0.04,148035,188491,8,False
KWT,Kuwait,Nepali,2.0,1.97,-0.03,98690,125661,9,False
LAO,Laos,Lao (Lao Lum),53.2,54.07,0.87,4133546,5275634,1,True
LAO,Laos,Other,15.4,14.91,-0.49,1196553,1454826,2,False
LAO,Laos,Khmou,11.0,10.65,-0.35,854681,1039161,3,False
LAO,Laos,Hmong,9.2,9.53,0.33,714824,929607,4,False
LAO,Laos,Phouthay (Lao Tai),3.4,3.29,-0.11,264174,321195,5,False
LAO,Laos,Tai,3.1,3.0,-0.1,240865,292855,6,False
LAO,Laos,Makong,2.5,2.42,-0.08,194246,236173,7,False
LAO,Laos,Katong (Lao Theung),2.2,2.13,-0.07,170936,207832,8,False
LBN,Lebanon,Lebanese Arab (Muslim),60.0,62.17,2.17,3483577,4351680,1,True
LBN,Lebanon,Lebanese Arab (Christian),30.0,28.12,-1.88,1741789,1968115,2,False
LBN,Lebanon,Druze,5.0,4.97,-0.03,290298,347543,3,False
LBN,Lebanon,Armenian,4.0,3.75,-0.25,232238,262415,4,False
LBN,Lebanon,Other,1.0,0.99,-0.01,58060,69509,5,False
LBR,Liberia,Other,20.6,22.64,2.04,1156239,2017238,1,True
LBR,Liberia,Kpelle,20.3,19.78,-0.52,1139401,1762392,2,False
LBR,Liberia,Bassa,13.4,13.06,-0.34,752117,1163352,3,False
LBR,Liberia,Grebo,10.0,9.74,-0.26,561281,868173,4,False
LBR,Liberia,Gio,8.0,7.79,-0.21,449025,694539,5,False
LBR,Liberia,Mano,7.9,7.7,-0.2,443412,685857,6,False
LBR,Liberia,Kru,6.0,5.85,-0.15,336769,520904,7,False
LBR,Liberia,Lorma,4.8,4.68,-0.12,269415,416723,8,False
LBR,Liberia,Kissi,4.6,4.48,-0.12,258189,399360,9,False
LBR,Liberia,Gola,4.4,4.29,-0.11,246964,381996,10,False
LBY,Libya,Arab,93.0,93.11,0.11,6864357,8622306,1,True
LBY,Libya,Amazigh (Berber),4.0,3.89,-0.11,295241,360628,2,False
LBY,Libya,Tuareg/Tebu,2.0,1.95,-0.05,147621,180314,3,False
LBY,Libya,Other,1.0,1.05,0.05,73810,97362,4,False
LCA,Saint Lucia,Black/African descent,85.3,85.57,0.27,153328,147256,1,True
LCA,Saint Lucia,Mixed,10.9,10.61,-0.29,19593,18253,2,False
LCA,Saint Lucia,East Indian,2.2,2.14,-0.06,3955,3684,3,False
LCA,Saint Lucia,Other,1.6,1.68,0.08,2876,2893,4,False
LIE,Liechtenstein,Liechtensteiner,66.0,65.18,-0.82,26331,28043,1,True
LIE,Liechtenstein,Other,10.0,10.25,0.25,3990,4410,2,False
LIE,Liechtenstein,Swiss,9.0,9.22,0.22,3591,3969,3,False
LIE,Liechtenstein,Austrian / German,8.0,8.2,0.2,3192,3528,4,False
LIE,Liechtenstein,Italian,4.0,4.1,0.1,1596,1764,5,False
LIE,Liechtenstein,Turkish,3.0,3.05,0.05,1197,1310,6,False
LKA,Sri Lanka,Sinhalese,74.9,75.71,0.81,17304567,18786320,1,True
LKA,Sri Lanka,Sri Lankan Tamil,11.2,10.32,-0.88,2587599,2561358,2,False
LKA,Sri Lanka,Sri Lankan Moor (Muslim),9.2,9.61,0.41,2125528,2384354,3,False
LKA,Sri Lanka,Indian Tamil,4.2,3.87,-0.33,970350,960509,4,False
LKA,Sri Lanka,Malay,0.5,0.49,-0.01,115518,121152,5,False
LSO,Lesotho,Sotho (Basotho),99.7,99.68,-0.02,2330416,2983642,1,True
LSO,Lesotho,Other,0.3,0.32,0.02,7012,9446,2,False
LTU,Lithuania,Lithuanian,84.6,85.39,0.79,2418809,1928666,1,True
LTU,Lithuania,Polish,6.5,6.01,-0.49,185842,135645,2,False
LTU,Lithuania,Russian,5.0,4.62,-0.38,142956,104342,3,False
LTU,Lithuania,Other,2.9,3.07,0.17,82914,69245,4,False
LTU,Lithuania,Belarusian,1.0,0.92,-0.08,28591,20868,5,False
LUX,Luxembourg,Luxembourger,52.9,51.65,-1.25,356039,408819,1,True
LUX,Luxembourg,Portuguese,16.2,16.63,0.43,109033,131609,2,False
LUX,Luxembourg,Other,14.4,14.78,0.38,96918,116986,3,False
LUX,Luxembourg,French,7.4,7.6,0.2,49805,60118,4,False
LUX,Luxembourg,Italian,3.5,3.59,0.09,23556,28434,5,False
LUX,Luxembourg,Belgian,3.3,3.39,0.09,22210,26809,6,False
LUX,Luxembourg,German,2.3,2.36,0.06,15480,18685,7,False
LVA,Latvia,Latvian,62.7,64.31,1.61,1173665,973507,1,True
LVA,Latvia,Russian,24.5,22.77,-1.73,458609,344631,2,False
LVA,Latvia,Other,5.5,5.85,0.35,102953,88522,3,False
LVA,Latvia,Belarusian,3.1,2.88,-0.22,58028,43606,4,False
LVA,Latvia,Ukrainian,2.2,2.34,0.14,41181,35409,5,False
LVA,Latvia,Polish,2.0,1.86,-0.14,37437,28133,6,False
MAR,Morocco,Arab,55.0,56.16,1.16,20944647,24394188,1,True
MAR,Morocco,Amazigh (Berber),44.0,42.87,-1.13,16755717,18622994,2,False
MAR,Morocco,Other,1.0,0.97,-0.03,380812,423250,3,False
MDA,Moldova,Moldovan / Romanian,75.1,76.0,0.9,2279260,1787323,1,True
MDA,Moldova,Other,7.7,8.13,0.43,233692,191203,2,False
MDA,Moldova,Ukrainian,6.6,6.09,-0.51,200308,143235,3,False
MDA,Moldova,Gagauz,4.6,4.24,-0.36,139608,99831,4,False
MDA,Moldova,Russian,4.1,3.78,-0.32,124434,88979,5,False
MDA,Moldova,Bulgarian,1.9,1.75,-0.15,57664,41234,6,False
MDG,Madagascar,Merina,26.0,27.88,1.88,8310890,14827723,1,True
MDG,Madagascar,Other Malagasy,19.0,18.5,-0.5,6073342,9837987,2,False
MDG,Madagascar,Betsimisaraka,15.0,14.6,-0.4,4794744,7766832,3,False
MDG,Madagascar,Betsileo,12.0,11.68,-0.32,3835795,6213466,4,False
MDG,Madagascar,Tsimihety,7.0,6.81,-0.19,2237547,3624522,5,False
MDG,Madagascar,Sakalava,6.0,5.84,-0.16,1917898,3106733,6,False
MDG,Madagascar,Antandroy,5.0,4.87,-0.13,1598248,2588944,7,False
MDG,Madagascar,Antaisaka,5.0,4.87,-0.13,1598248,2588944,8,False
MDG,Madagascar,Antanosy,4.0,3.89,-0.11,1278598,2071155,9,False
MDG,Madagascar,Other (French/Chinese/Indian),1.0,1.05,0.05,319650,559168,10,False
MDV,Maldives,Maldivian,70.0,68.84,-1.16,369461,406127,1,True
MDV,Maldives,Bangladeshi expatriate,10.0,10.39,0.39,52780,61279,2,False
MDV,Maldives,Other,7.0,7.27,0.27,36946,42895,3,False
MDV,Maldives,Indian expatriate,6.0,6.23,0.23,31668,36767,4,False
MDV,Maldives,Chinese expatriate,5.0,5.19,0.19,26390,30639,5,False
MDV,Maldives,Sri Lankan expatriate,2.0,2.08,0.08,10556,12256,6,False
MEX,Mexico,Mestizo (Euro/Amerindian mix),62.0,62.92,0.92,81133821,93712856,1,True
MEX,Mexico,White (Spanish/European descent),10.0,9.0,-1.0,13086100,13401233,2,False
MEX,Mexico,Amerindian: Nahua,7.4,7.55,0.15,9683714,11238471,3,False
MEX,Mexico,Amerindian: Maya,6.5,6.63,0.13,8505965,9871630,4,False
MEX,Mexico,Other,5.5,5.24,-0.26,7197355,7809386,5,False
MEX,Mexico,Amerindian: Mixtec,2.4,2.45,0.05,3140664,3644910,6,False
MEX,Mexico,Amerindian: Zapotec,1.7,1.73,0.03,2224637,2581811,7,False
MEX,Mexico,Afro-Mexican,1.5,1.43,-0.07,1962915,2129833,8,False
MEX,Mexico,Amerindian: Otomi,1.1,1.12,0.02,1439471,1670584,9,False
MEX,Mexico,Other Amerindian,1.0,1.02,0.02,1308610,1518712,10,False
MEX,Mexico,Amerindian: Totonac,0.9,0.92,0.02,1177749,1366841,11,False
MHL,Marshall Islands,Marshallese,92.1,92.16,0.06,34604,23235,1,True
MHL,Marshall Islands,Mixed,5.9,5.74,-0.16,2217,1447,2,False
MHL,Marshall Islands,Other,2.0,2.1,0.1,751,530,3,False
MKD,North Macedonia,Macedonian,58.4,58.32,-0.08,1064638,882255,1,True
MKD,North Macedonia,Albanian,24.3,24.82,0.52,442992,375512,2,False
MKD,North Macedonia,Other,9.1,8.69,-0.41,165894,131473,3,False
MKD,North Macedonia,Turk,3.9,3.98,0.08,71097,60267,4,False
MKD,North Macedonia,Romani,2.5,2.55,0.05,45575,38633,5,False
MKD,North Macedonia,Serb,1.8,1.62,-0.18,32814,24545,6,False
MLI,Mali,Bambara,33.3,34.71,1.41,8151373,16019374,1,True
MLI,Mali,Fulani (Peulh),13.3,13.73,0.43,3255653,6339110,2,False
MLI,Mali,Sarakole,9.6,9.27,-0.33,2349945,4277860,3,False
MLI,Mali,Senufo,9.6,9.27,-0.33,2349945,4277860,4,False
MLI,Mali,Dogon,8.7,8.4,-0.3,2129638,3876811,5,False
MLI,Mali,Malinke,8.7,8.4,-0.3,2129638,3876811,6,False
MLI,Mali,Bobo,6.7,6.47,-0.23,1640066,2985590,7,False
MLI,Mali,Songhai,5.9,5.7,-0.2,1444237,2629102,8,False
MLI,Mali,Other,4.2,4.06,-0.14,1028101,1871564,9,False
MLT,Malta,Maltese,87.4,86.89,-0.51,471621,465473,1,True
MLT,Malta,Other,6.1,6.36,0.26,32916,34051,2,False
MLT,Malta,Other European,5.0,5.21,0.21,26981,27911,3,False
MLT,Malta,North African,1.5,1.55,0.05,8094,8293,4,False
MMR,Myanmar,Bamar,68.0,68.37,0.37,37060058,40082556,1,True
MMR,Myanmar,Shan,9.0,8.71,-0.29,4905008,5106379,2,False
MMR,Myanmar,Karen,7.0,6.77,-0.23,3815006,3971628,3,False
MMR,Myanmar,Rakhine,4.0,4.14,0.14,2180003,2427458,4,False
MMR,Myanmar,Chinese,3.0,3.14,0.14,1635003,1838151,5,False
MMR,Myanmar,Indian,2.0,2.09,0.09,1090002,1225434,6,False
MMR,Myanmar,Mon,2.0,1.94,-0.06,1090002,1134751,7,False
MMR,Myanmar,Chin,1.5,1.45,-0.05,817501,851063,8,False
MMR,Myanmar,Other,1.5,1.45,-0.05,817501,851063,9,False
MMR,Myanmar,Kachin,1.0,0.97,-0.03,545001,567375,10,False
MMR,Myanmar,Kayin,1.0,0.97,-0.03,545001,567375,11,False
MNE,Montenegro,Montenegrin,45.0,46.71,1.71,287316,249120,1,True
MNE,Montenegro,Serb,28.7,26.57,-2.13,183244,141692,2,False
MNE,Montenegro,Other,12.8,12.55,-0.25,81726,66955,3,False
MNE,Montenegro,Bosniak,8.6,9.02,0.42,54909,48116,4,False
MNE,Montenegro,Albanian,4.9,5.14,0.24,31286,27415,5,False
MNG,Mongolia,Khalkh,81.9,81.9,0.0,2846468,3686730,1,True
MNG,Mongolia,Other Mongol groups,4.0,3.87,-0.13,139022,174429,2,False
MNG,Mongolia,Other,4.0,4.18,0.18,139022,188368,3,False
MNG,Mongolia,Kazakh,3.8,3.94,0.14,132071,177240,4,False
MNG,Mongolia,Dorvod,2.7,2.62,-0.08,93840,117739,5,False
MNG,Mongolia,Bayad,1.9,1.84,-0.06,66035,82854,6,False
MNG,Mongolia,Buryat,1.7,1.65,-0.05,59084,74132,7,False
MOZ,Mozambique,Other,26.6,28.48,1.88,9212050,18096625,1,True
MOZ,Mozambique,Makhuwa,26.1,25.43,-0.67,9038891,16155805,2,False
MOZ,Mozambique,Tsonga,11.3,11.01,-0.29,3913390,6994659,3,False
MOZ,Mozambique,Lomwe,7.8,7.6,-0.2,2701278,4828172,4,False
MOZ,Mozambique,Sena,7.2,7.02,-0.18,2493487,4456774,5,False
MOZ,Mozambique,Shona,6.4,6.24,-0.16,2216433,3961577,6,False
MOZ,Mozambique,Nyanja,5.7,5.55,-0.15,1974011,3528279,7,False
MOZ,Mozambique,Chopi,3.4,3.31,-0.09,1177480,2104588,8,False
MOZ,Mozambique,Ngoni,3.0,2.92,-0.08,1038953,1856989,9,False
MOZ,Mozambique,Shona (Ndau),2.5,2.44,-0.06,865794,1547491,10,False
MRT,Mauritania,White Moor (Arab-Berber),40.0,40.73,0.73,2067761,3834984,1,True
MRT,Mauritania,Sub-Saharan Mauritanian (Pulaar/Wolof/Soninke),30.0,30.63,0.63,1550821,2884147,2,False
MRT,Mauritania,Black Moor (Haratin),25.0,23.87,-1.13,1292351,2247061,3,False
MRT,Mauritania,Other,5.0,4.77,-0.23,258470,449412,4,False
MUS,Mauritius,Indo-Mauritian,66.0,67.06,1.06,838973,742434,1,True
MUS,Mauritius,Creole (African/French),28.0,27.36,-0.64,355928,302897,2,False
MUS,Mauritius,Sino-Mauritian,3.0,2.77,-0.23,38135,30630,3,False
MUS,Mauritius,Franco-Mauritian,2.0,1.84,-0.16,25423,20420,4,False
MUS,Mauritius,Other,1.0,0.98,-0.02,12712,10818,5,False
MWI,Malawi,Chewa,34.3,35.99,1.69,7427764,13445352,1,True
MWI,Malawi,Lomwe,18.8,18.32,-0.48,4071194,6843636,2,False
MWI,Malawi,Yao,13.2,12.86,-0.34,2858498,4805106,3,False
MWI,Malawi,Ngoni,10.4,10.13,-0.27,2252150,3785841,4,False
MWI,Malawi,Tumbuka,9.2,8.96,-0.24,1992286,3349013,5,False
MWI,Malawi,Other,7.1,6.92,-0.18,1537525,2584565,6,False
MWI,Malawi,Sena,3.8,3.7,-0.1,822901,1383288,7,False
MWI,Malawi,Mang'anja,3.2,3.12,-0.08,692969,1164874,8,False
MYS,Malaysia,Bumiputera (Malay),57.9,60.79,2.89,20587891,26925686,1,True
MYS,Malaysia,Chinese,22.6,20.22,-2.38,8036033,8955282,2,False
MYS,Malaysia,Other Bumiputera (Dayak/Iban/Kadazan),10.1,10.24,0.14,3591325,4535477,3,False
MYS,Malaysia,Indian,6.8,6.08,-0.72,2417922,2694510,4,False
MYS,Malaysia,Other,2.6,2.66,0.06,924499,1178808,5,False
NAM,Namibia,Ovambo,50.0,51.39,1.39,1515064,2319088,1,True
NAM,Namibia,Other,11.0,10.74,-0.26,333314,484686,2,False
NAM,Namibia,Kavangos,9.0,8.79,-0.21,272711,396561,3,False
NAM,Namibia,Herero,7.0,6.84,-0.16,212109,308436,4,False
NAM,Namibia,Damara,7.0,6.84,-0.16,212109,308436,5,False
NAM,Namibia,Nama,5.0,4.88,-0.12,151506,220312,6,False
NAM,Namibia,Colored,4.0,3.91,-0.09,121205,176249,7,False
NAM,Namibia,White (Afrikaner/German),4.0,3.69,-0.31,121205,166348,8,False
NAM,Namibia,San (Bushmen),3.0,2.93,-0.07,90904,132187,9,False
NER,Niger,Hausa,53.1,55.59,2.49,14354213,29193769,1,True
NER,Niger,Songhai,21.2,19.78,-1.42,5730872,10388661,2,False
NER,Niger,Tuareg,10.4,9.7,-0.7,2811371,5096324,3,False
NER,Niger,Fulani (Peulh),9.9,9.88,-0.02,2676209,5188959,4,False
NER,Niger,Kanuri (Manga),4.4,4.11,-0.29,1189426,2156137,5,False
NER,Niger,Other,1.0,0.93,-0.07,270324,490031,6,False
NGA,Nigeria,Hausa,30.0,33.1,3.1,69803845,118887038,1,True
NGA,Nigeria,Other,20.5,19.48,-1.02,47699294,69955802,2,False
NGA,Nigeria,Yoruba,15.5,14.73,-0.77,36065320,52893412,3,False
NGA,Nigeria,Igbo,15.2,14.44,-0.76,35367281,51869668,4,False
NGA,Nigeria,Fulani,6.0,6.1,0.1,13960769,21899916,5,False
NGA,Nigeria,Tiv,2.4,2.28,-0.12,5584308,8189948,6,False
NGA,Nigeria,Kanuri,2.4,2.28,-0.12,5584308,8189948,7,False
NGA,Nigeria,Ibibio,1.8,1.71,-0.09,4188231,6142461,8,False
NGA,Nigeria,Ijaw (Izon),1.8,1.71,-0.09,4188231,6142461,9,False
NGA,Nigeria,Esan,1.0,0.95,-0.05,2326795,3412478,10,False
NGA,Nigeria,Bini (Edo),1.0,0.95,-0.05,2326795,3412478,11,False
NGA,Nigeria,Nupe,0.9,0.86,-0.04,2094115,3071230,12,False
NGA,Nigeria,Urhobo,0.8,0.76,-0.04,1861436,2729983,13,False
NGA,Nigeria,Igala,0.7,0.67,-0.03,1628756,2388735,14,False
NIC,Nicaragua,Mestizo,69.0,70.21,1.21,4772134,6147765,1,True
NIC,Nicaragua,White,17.0,15.73,-1.27,1175743,1377163,2,False
NIC,Nicaragua,Black (Creole),5.0,4.9,-0.1,345807,429157,3,False
NIC,Nicaragua,Miskito (Amerindian),4.0,4.19,0.19,276645,367221,4,False
NIC,Nicaragua,Other,4.0,3.92,-0.08,276645,343325,5,False
NIC,Nicaragua,Other Amerindian,1.0,1.05,0.05,69161,91805,6,False
NLD,Netherlands,Dutch,75.4,75.05,-0.35,13744470,14229169,1,True
NLD,Netherlands,Other,7.2,7.42,0.22,1312469,1407626,2,False
NLD,Netherlands,Other EU,6.4,6.6,0.2,1166639,1251223,3,False
NLD,Netherlands,Turkish,2.4,2.45,0.05,437490,464727,4,False
NLD,Netherlands,Moroccan,2.3,2.35,0.05,419261,445363,5,False
NLD,Netherlands,Surinamese,2.1,2.01,-0.09,382804,380176,6,False
NLD,Netherlands,Indonesian,2.0,1.91,-0.09,364575,362072,7,False
