ISO3,Country,Group,Baseline_Evidence_Status,Projection_Evidence_Status,Uncertainty_Evidence_Status,Share_2024_pct,Share_2050_pct,Change_pp,Share_2050_WithoutMigrationResponse_pct,Migration_Attributed_Change_pp,Share_2050_WithoutSSASourcePoolTransition_pct,SSA_SourcePoolTransition_Attributed_Change_pp,Share_2050_LowMigrationScenario_pct,Share_2050_HighMigrationScenario_pct,Share_2050_Migration_P10_pct,Share_2050_Migration_P90_pct,Migration_Uncertainty_Width_pp,Pop_2024,Pop_2050,Birth_Replacement_Pressure_2050,Europe_Migration_Response_2050,Migration_Origin_Candidates,Migration_Channel_Active,Migration_SourceSupply_2050,Migration_BroadLaborMobility_2050,Migration_SkillReadiness_2050,Migration_ClimatePressure_2050,Migration_DestinationPull_2050,Migration_DiasporaNetwork_2050,Migration_CorridorAffinity_2050,Migration_SettlementRetention_2050,Migration_CorridorMultiplier_2050,BroadLabor_Migration_SourcePressure_2050,BroadLabor_Migration_ProgramIntensity_2050,SSA_LateMigration_DestinationResponse_2050,SSA_SourcePoolTransition_2050,SSA_SourcePoolCapacity_2050,AgeStructure_Youth014_2024,AgeStructure_Youth014_2050,AgeStructure_WorkingAge_2024,AgeStructure_WorkingAge_2050,AgeStructure_Elderly65Plus_2024,AgeStructure_Elderly65Plus_2050,Migration_Stock_SoftCap_2050,Migration_Linked_ResidentShare_2050,Migration_Saturation_Factor_2050,Migration_Absorption_Capacity_2050,Inclusive_Mobility_Share_2050_pct,Inclusive_Mobility_Change_pp,Inclusive_Mobility_Delta_vs_Baseline_pp,Inclusive_Mobility_IdentityFormationMultiplier,Inclusive_Mobility_MixedIdentityMultiplier,Inclusive_Mobility_IdentityTransitionRate,Inclusive_Mobility_CompositionDiversity_2050,Anchor
AGO,Angola,Ovimbundu,compiled_category_baseline_source_review_required,cohort_informed_scenario_not_official_forecast,migration_sensitivity_range_not_calibrated_probability,37.0,37.44,0.44,37.44,0.0,37.44,0.0,37.44,37.44,37.44,37.44,0.0,14017766,27813292,0.0,0.0,unspecified,False,0.5,0.48,0.56,0.42,0.454,1.257,1.0,0.78,0.829,0.784,0.0,0.0,1.0,0.761,43.0,44.72,55.0,51.16,2.0,4.12,0.251,0.0,1.0,0.809,37.19,0.19,-0.25,2.165,2.3,0.0005,0.7494,True
AGO,Angola,Kimbundu,compiled_category_baseline_source_review_required,cohort_informed_scenario_not_official_forecast,migration_sensitivity_range_not_calibrated_probability,25.0,24.99,-0.01,24.99,0.0,24.99,0.0,24.99,24.99,24.99,24.99,0.0,9471464,18565029,0.0,0.0,unspecified,False,0.5,0.48,0.56,0.42,0.454,1.211,1.0,0.78,0.819,0.784,0.0,0.0,1.0,0.761,43.0,44.72,55.0,51.16,2.0,4.12,0.251,0.0,1.0,0.809,24.99,-0.01,-0.0,2.165,2.3,0.0005,0.7494,False
AGO,Angola,Bakongo,compiled_category_baseline_source_review_required,cohort_informed_scenario_not_official_forecast,migration_sensitivity_range_not_calibrated_probability,13.0,12.99,-0.01,12.99,0.0,12.99,0.0,12.99,12.99,12.99,12.99,0.0,4925161,9653815,0.0,0.0,unspecified,False,0.5,0.48,0.56,0.42,0.454,1.137,1.0,0.78,0.802,0.784,0.0,0.0,1.0,0.761,43.0,44.72,55.0,51.16,2.0,4.12,0.251,0.0,1.0,0.809,12.99,-0.01,-0.0,2.165,2.3,0.0005,0.7494,False
AGO,Angola,Chokwe,compiled_category_baseline_source_review_required,cohort_informed_scenario_not_official_forecast,migration_sensitivity_range_not_calibrated_probability,4.4,4.4,-0.0,4.4,0.0,4.4,0.0,4.4,4.4,4.4,4.4,0.0,1666978,3267445,0.0,0.0,unspecified,False,0.5,0.48,0.56,0.42,0.454,1.022,1.0,0.78,0.777,0.784,0.0,0.0,1.0,0.761,43.0,44.72,55.0,51.16,2.0,4.12,0.251,0.0,1.0,0.809,4.4,-0.0,-0.0,2.165,2.3,0.0005,0.7494,False
AGO,Angola,Mestico (mixed),compiled_category_baseline_source_review_required,cohort_informed_scenario_not_official_forecast,migration_sensitivity_range_not_calibrated_probability,2.0,2.0,-0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,757717,1485202,0.0,0.0,unspecified,False,0.5,0.48,0.56,0.42,0.454,0.952,1.0,0.78,0.761,0.784,0.0,0.0,1.0,0.761,43.0,44.72,55.0,51.16,2.0,4.12,0.251,0.0,1.0,0.809,2.0,-0.0,-0.0,2.165,2.3,0.0005,0.7494,False
AGO,Angola,European,compiled_category_baseline_source_review_required,cohort_informed_scenario_not_official_forecast,migration_sensitivity_range_not_calibrated_probability,1.0,0.93,-0.07,0.93,0.0,0.93,0.0,0.93,0.93,0.93,0.93,0.0,378859,692112,0.0,0.0,unspecified,False,0.5,0.48,0.56,0.42,0.454,0.903,1.0,0.78,0.75,0.784,0.0,0.0,1.0,0.761,43.0,44.72,55.0,51.16,2.0,4.12,0.251,0.0,1.0,0.809,0.94,-0.06,0.01,2.165,2.3,0.0005,0.7494,False
AGO,Angola,Other African,compiled_category_baseline_source_review_required,cohort_informed_scenario_not_official_forecast,migration_sensitivity_range_not_calibrated_probability,17.6,17.25,-0.35,17.25,0.0,17.25,0.0,17.25,17.25,17.25,17.25,0.0,6667910,12818502,0.0,0.0,unspecified,False,0.5,0.48,0.56,0.42,0.454,1.171,1.0,0.78,0.81,0.784,0.0,0.0,1.0,0.761,43.0,44.72,55.0,51.16,2.0,4.12,0.251,0.0,1.0,0.809,17.5,-0.1,0.25,2.165,2.3,0.0005,0.7494,False
ALB,Albania,Albanian (Gheg),compiled_category_baseline_source_review_required,cohort_informed_scenario_not_official_forecast,migration_sensitivity_range_not_calibrated_probability,55.0,54.62,-0.38,55.28,-0.67,54.62,0.0,54.82,54.37,54.37,54.82,0.45,1535466,1223503,0.525,0.15,unspecified,False,0.5,0.48,0.56,0.42,0.751,1.3,1.0,0.78,1.027,0.0,0.0,0.0,1.0,0.761,16.849,9.04,63.5,62.3,19.651,28.66,0.251,0.0,1.0,0.867,54.4,-0.6,-0.21,2.043,2.09,0.0005,0.6055,True
ALB,Albania,Albanian (Tosk),compiled_category_baseline_source_review_required,cohort_informed_scenario_not_official_forecast,migration_sensitivity_range_not_calibrated_probability,27.6,27.21,-0.39,27.55,-0.34,27.21,0.0,27.32,27.09,27.09,27.32,0.23,770525,609655,0.525,0.15,unspecified,False,0.5,0.48,0.56,0.42,0.751,1.222,1.0,0.78,0.999,0.0,0.0,0.0,1.0,0.761,16.849,9.04,63.5,62.3,19.651,28.66,0.251,0.0,1.0,0.867,27.21,-0.39,-0.0,2.043,2.09,0.0005,0.6055,False
ALB,Albania,Greek,compiled_category_baseline_source_review_required,cohort_informed_scenario_not_official_forecast,migration_sensitivity_range_not_calibrated_probability,1.7,1.39,-0.31,1.41,-0.02,1.39,0.0,1.41,1.38,1.38,1.41,0.03,47460,31183,0.525,0.15,unspecified,False,0.5,0.48,0.56,0.42,0.751,0.939,1.0,0.78,0.895,0.0,0.0,0.0,1.0,0.761,16.849,9.04,63.5,62.3,19.651,28.66,0.251,0.0,1.0,0.867,1.42,-0.28,0.03,2.043,2.09,0.0005,0.6055,False
ALB,Albania,Romani / Egyptian,compiled_category_baseline_source_review_required,cohort_informed_scenario_not_official_forecast,migration_sensitivity_range_not_calibrated_probability,1.0,1.28,0.28,1.3,-0.02,1.28,0.0,1.28,1.29,1.28,1.29,0.01,27918,28771,0.525,0.15,EGY,False,0.7,0.706,0.72,0.66,0.751,0.903,1.0,0.78,1.014,0.0,0.0,0.0,1.0,0.761,16.849,9.04,63.5,62.3,19.651,28.66,0.251,0.0,1.0,0.867,1.25,0.25,-0.03,2.043,2.09,0.0005,0.6055,False
ALB,Albania,Macedonian,compiled_category_baseline_source_review_required,cohort_informed_scenario_not_official_forecast,migration_sensitivity_range_not_calibrated_probability,0.2,0.2,-0.0,0.2,-0.0,0.2,0.0,0.2,0.2,0.2,0.2,0.0,5584,4418,0.525,0.15,unspecified,False,0.5,0.48,0.56,0.42,0.751,0.842,1.0,0.78,0.859,0.0,0.0,0.0,1.0,0.761,16.849,9.04,63.5,62.3,19.651,28.66,0.251,0.0,1.0,0.867,0.2,-0.0,-0.0,2.043,2.09,0.0005,0.6055,False
ALB,Albania,Other,compiled_category_baseline_source_review_required,cohort_informed_scenario_not_official_forecast,migration_sensitivity_range_not_calibrated_probability,14.5,15.3,0.8,14.25,1.04,15.3,0.0,14.98,15.67,14.98,15.67,0.7,404805,342639,0.525,0.15,unspecified,False,0.5,0.48,0.56,0.42,0.751,1.149,1.0,0.78,0.972,0.0,0.0,0.0,1.0,0.761,16.849,9.04,63.5,62.3,19.651,28.66,0.251,0.0,1.0,0.867,15.51,1.01,0.22,2.043,2.09,0.0005,0.6055,False
AND,Andorra,Andorran,compiled_category_baseline_source_review_required,cohort_informed_scenario_not_official_forecast,migration_sensitivity_range_not_calibrated_probability,48.3,49.39,1.09,50.23,-0.84,49.39,0.0,49.6,49.13,49.13,49.6,0.47,39584,40603,0.0,0.0,unspecified,False,0.5,0.48,0.56,0.42,0.623,1.288,1.0,0.78,0.942,0.0,0.0,0.0,1.0,0.761,27.991,19.941,65.0,65.4,7.009,14.659,0.269,0.506,0.22,0.908,48.55,0.25,-0.84,2.082,2.199,0.0005,0.677,True
AND,Andorra,Spanish,compiled_category_baseline_source_review_required,cohort_informed_scenario_not_official_forecast,migration_sensitivity_range_not_calibrated_probability,24.8,24.04,-0.76,23.63,0.41,24.04,0.0,23.95,24.16,23.95,24.16,0.22,20325,19766,0.0,0.0,unspecified,True,0.5,0.48,0.56,0.42,0.623,1.21,1.0,0.78,0.919,0.0,0.0,0.0,1.0,0.761,27.991,19.941,65.0,65.4,7.009,14.659,0.269,0.506,0.22,0.908,24.47,-0.33,0.43,2.082,2.199,0.0005,0.677,False
AND,Andorra,Portuguese,compiled_category_baseline_source_review_required,cohort_informed_scenario_not_official_forecast,migration_sensitivity_range_not_calibrated_probability,11.2,10.85,-0.35,10.67,0.18,10.85,0.0,10.81,10.9,10.81,10.9,0.09,9179,8918,0.0,0.0,unspecified,True,0.5,0.48,0.56,0.42,0.623,1.12,1.0,0.78,0.891,0.0,0.0,0.0,1.0,0.761,27.991,19.941,65.0,65.4,7.009,14.659,0.269,0.506,0.22,0.908,11.04,-0.16,0.19,2.082,2.199,0.0005,0.677,False
AND,Andorra,French,compiled_category_baseline_source_review_required,cohort_informed_scenario_not_official_forecast,migration_sensitivity_range_not_calibrated_probability,4.5,4.35,-0.15,4.29,0.07,4.35,0.0,4.34,4.37,4.34,4.37,0.03,3688,3579,0.0,0.0,unspecified,True,0.5,0.48,0.56,0.42,0.623,1.025,1.0,0.78,0.862,0.0,0.0,0.0,1.0,0.761,27.991,19.941,65.0,65.4,7.009,14.659,0.269,0.506,0.22,0.908,4.43,-0.07,0.08,2.082,2.199,0.0005,0.677,False
AND,Andorra,Other,compiled_category_baseline_source_review_required,cohort_informed_scenario_not_official_forecast,migration_sensitivity_range_not_calibrated_probability,11.2,11.37,0.17,11.18,0.18,11.37,0.0,11.31,11.44,11.31,11.44,0.14,9179,9347,0.0,0.0,unspecified,True,0.5,0.48,0.56,0.42,0.623,1.12,1.0,0.78,0.891,0.0,0.0,0.0,1.0,0.761,27.991,19.941,65.0,65.4,7.009,14.659,0.269,0.506,0.22,0.908,11.51,0.31,0.14,2.082,2.199,0.0005,0.677,False
ARE,UAE,Emirati,compiled_category_baseline_source_review_required,cohort_informed_scenario_not_official_forecast,migration_sensitivity_range_not_calibrated_probability,11.6,12.11,0.51,12.87,-0.76,12.11,-0.0,12.29,11.9,11.9,12.29,0.39,1279148,1860911,0.0,0.0,unspecified,False,0.5,0.48,0.56,0.42,0.747,1.124,1.0,0.46,0.887,0.0,0.814,0.44,1.0,0.761,10.735,7.732,83.0,80.0,6.265,12.268,0.86,0.879,0.358,0.871,11.97,0.37,-0.14,2.277,2.436,0.0005,0.8473,False
ARE,UAE,Indian,compiled_category_baseline_source_review_required,cohort_informed_scenario_not_official_forecast,migration_sensitivity_range_not_calibrated_probability,25.8,26.97,1.17,26.67,0.3,26.97,-0.01,26.91,27.04,26.91,27.04,0.13,2845001,4144187,0.0,0.0,IND;PAK;BGD;LKA;NPL,True,0.718,0.719,0.752,0.684,0.747,1.215,1.18,0.46,1.167,0.0,0.814,0.44,1.0,0.761,10.735,7.732,83.0,80.0,6.265,12.268,0.86,0.879,0.358,0.871,26.18,0.38,-0.78,2.277,2.436,0.0005,0.8473,True
ARE,UAE,Pakistani,compiled_category_baseline_source_review_required,cohort_informed_scenario_not_official_forecast,migration_sensitivity_range_not_calibrated_probability,11.8,11.35,-0.45,11.18,0.17,11.36,-0.0,11.31,11.4,11.31,11.4,0.09,1301202,1744765,0.0,0.0,PAK,True,0.769,0.814,0.7,0.74,0.747,1.126,1.3,0.46,1.225,0.0,0.814,0.44,1.0,0.761,10.735,7.732,83.0,80.0,6.265,12.268,0.86,0.879,0.358,0.871,11.56,-0.24,0.2,2.277,2.436,0.0005,0.8473,False
ARE,UAE,Bangladeshi,compiled_category_baseline_source_review_required,cohort_informed_scenario_not_official_forecast,migration_sensitivity_range_not_calibrated_probability,8.5,8.15,-0.35,8.05,0.09,8.15,-0.0,8.13,8.17,8.13,8.17,0.04,937306,1251877,0.0,0.0,BGD,True,0.735,0.788,0.68,0.84,0.747,1.09,1.26,0.46,1.156,0.0,0.814,0.44,1.0,0.761,10.735,7.732,83.0,80.0,6.265,12.268,0.86,0.879,0.358,0.871,8.29,-0.21,0.15,2.277,2.436,0.0005,0.8473,False
ARE,UAE,Filipino,compiled_category_baseline_source_review_required,cohort_informed_scenario_not_official_forecast,migration_sensitivity_range_not_calibrated_probability,6.1,5.79,-0.31,5.78,0.02,5.8,-0.0,5.8,5.79,5.79,5.8,0.0,672655,890386,0.0,0.0,PHL,True,0.759,0.718,0.88,0.64,0.747,1.055,1.0,0.46,1.03,0.0,0.814,0.44,1.0,0.761,10.735,7.732,83.0,80.0,6.265,12.268,0.86,0.879,0.358,0.871,5.9,-0.2,0.1,2.277,2.436,0.0005,0.8473,False
ARE,UAE,Egyptian,compiled_category_baseline_source_review_required,cohort_informed_scenario_not_official_forecast,migration_sensitivity_range_not_calibrated_probability,4.4,4.77,0.37,4.77,-0.0,4.77,-0.0,4.75,4.79,4.75,4.79,0.04,485194,733509,0.0,0.0,EGY,True,0.7,0.706,0.72,0.66,0.747,1.022,1.0,0.46,0.979,0.0,0.814,0.44,1.0,0.761,10.735,7.732,83.0,80.0,6.265,12.268,0.86,0.879,0.358,0.871,4.77,0.37,0.0,2.277,2.436,0.0005,0.8473,False
