train_end,test_year,life_expectancy_mae,life_expectancy_rmse,life_expectancy_r2,expected_years_schooling_mae,expected_years_schooling_rmse,expected_years_schooling_r2,mean_years_schooling_mae,mean_years_schooling_rmse,mean_years_schooling_r2,gni_per_capita_ppp_mae,gni_per_capita_ppp_rmse,gni_per_capita_ppp_r2,hdi_mae,hdi_rmse,hdi_r2
2014.0,2015.0,0.2267071304399716,0.2585055883811739,0.9990071733809578,0.11332382137688841,0.19279424376315582,0.9960924556750853,0.018921880460727472,0.03511024642257452,0.9998397471021288,165.17196855142933,618.4005628477222,0.9994069256873904,0.0016781004487814624,0.0022282880896788764,0.9997522865921944
2015.0,2016.0,0.10111235427726385,0.17393881177033904,0.9995450125982367,0.11497516548583674,0.2173263886563705,0.994975993417106,0.02032764467482343,0.04153548920936727,0.9997740521333343,125.35643987075511,313.8428413185606,0.9998479717576858,0.001423297816893662,0.002514068583286071,0.9996832460947019
2016.0,2017.0,0.17434050579005764,0.2593525860968512,0.9989974557563659,0.11235137878591737,0.20305160217168783,0.99563111851416,0.019566914647051018,0.04037315479839792,0.9997859562947915,120.99957028180897,249.83197954277364,0.9999095068805444,0.0014837642566478508,0.002161217496011661,0.9997647162081783
2017.0,2018.0,0.13947366431916133,0.2623338982678442,0.9988416088696319,0.12138996493447524,0.21245022131290495,0.995195874287948,0.011475319914064976,0.02419070554618457,0.9999224904083747,176.67546396415233,965.9602178345397,0.9987110563195088,0.001453520440640423,0.0022296273260273415,0.9997439161296177
2018.0,2019.0,0.1835379859646833,0.33678018889660266,0.9981708969670895,0.12524143895456386,0.23363642807076718,0.9939889770519178,0.010277956425289732,0.02003439129648768,0.9999462380074252,109.60209585164736,222.04826258917893,0.9999338632367807,0.0017222923615311041,0.002851219514337473,0.9995785772157354
2019.0,2020.0,0.1872959315397278,0.28196135794985805,0.9985443359037731,0.12184511935289448,0.22445231959087458,0.9942828712968763,0.012651129303417902,0.032671458484557166,0.9998568966184996,111.50095572040969,259.4550481119113,0.9999009750393784,0.001524161655216266,0.002335605163919765,0.9997057752920023
2020.0,2021.0,0.1836982486062355,0.258178233045625,0.9988740411752657,0.11021361500482939,0.18952285930681573,0.9959220945730578,0.010570897407108591,0.01999000726277923,0.9999461672193637,205.683636895486,952.7091238303299,0.9988701698273663,0.0015514687541702836,0.0023467237660150255,0.9997060924257712
2021.0,2022.0,0.17990241799398085,0.2560731492073928,0.9988264028194074,0.10355016065038979,0.1646019157468002,0.9969403503894071,0.009141112603794924,0.017910204272838848,0.9999562076852344,207.3434719022316,679.3793808481946,0.9994991120461466,0.0014883910207521324,0.0021440535827774564,0.9997524145519177
2022.0,2023.0,0.43427151749079806,0.5085171751790423,0.994879561260166,0.11022815005509434,0.19439976975831472,0.9957838823514331,0.010664066417415213,0.021547244681509963,0.9999363482418727,185.62856644130642,519.649981422254,0.9997218698481121,0.002201490486502954,0.00286549847934614,0.9995503312640015
2023.0,2024.0,0.7758643377358303,0.8252130723257001,0.9869322273947101,0.22984443070360303,0.3843823097769524,0.9847414056239335,0.3245548190136164,0.578728789789121,0.9629096963400893,191.8433804716752,457.5145475425503,0.9997969466653991,0.00880622732762472,0.011659045249038128,0.9938945923722459
