ISO3,Country,Group,Profile,TFR_2024,TFR_2050,Nat_TFR_2024,Nat_TFR_2050,Share_2024_pct,Share_2050_pct,Change_pp,Share_2050_WithoutMigrationResponse_pct,Migration_Attributed_Change_pp,Share_2050_WithoutSSASourcePoolTransition_pct,SSA_SourcePoolTransition_Attributed_Change_pp,Share_2050_LowMigrationScenario_pct,Share_2050_HighMigrationScenario_pct,Share_2050_Migration_P10_pct,Share_2050_Migration_P90_pct,Migration_Uncertainty_Width_pp,Brazilification_Share_2050_pct,Brazilification_Change_pp,Brazilification_Delta_vs_Baseline_pp,Pop_2024,Pop_2050,Demographic_Pressure,Birth_Replacement_Pressure_2050,Europe_Migration_Response_2050,Migration_Intensity_2050,Migration_Origin_Candidates,Migration_Channel_Active,Migration_SourceSupply_2050,Migration_BroadLaborMobility_2050,Migration_SkillReadiness_2050,Migration_ClimatePressure_2050,Migration_DestinationPull_2050,Migration_DiasporaNetwork_2050,Migration_CorridorAffinity_2050,Migration_SettlementRetention_2050,Migration_CorridorMultiplier_2050,Skilled_Migration_SourcePressure_2050,Skilled_Migration_ProgramIntensity_2050,BroadLabor_Migration_SourcePressure_2050,BroadLabor_Migration_ProgramIntensity_2050,SSA_LateMigration_DestinationResponse_2050,SSA_SourcePoolTransition_2050,SSA_SourcePoolCapacity_2050,AgeStructure_Youth014_2024,AgeStructure_Youth014_2050,AgeStructure_WorkingAge_2024,AgeStructure_WorkingAge_2050,AgeStructure_Elderly65Plus_2024,AgeStructure_Elderly65Plus_2050,Migration_Stock_SoftCap_2050,Migration_Linked_ResidentShare_2050,Migration_Saturation_Factor_2050,Migration_Absorption_Capacity_2050,Policy_Openness,Policy_Feedback_2050,Intermarriage_Coefficient,Assimilation_Coefficient,Diversity_Index_2024,Diversity_Index_2050,Diversity_Index_Change,Ethnic_Fractionalization_2050,Ethnolinguistic_Polarization_RQ_2050,Structural_Inequality_Drag_2050,Brazilification_IntermarriageMultiplier,Brazilification_MixedIdentityMultiplier,Brazilification_AssimilationRate,Brazilification_Diversity_Index_2050,Inclusive_Mobility_Share_2050_pct,Inclusive_Mobility_Change_pp,Inclusive_Mobility_Delta_vs_Baseline_pp,Inclusive_Mobility_IdentityFormationMultiplier,Inclusive_Mobility_MixedIdentityMultiplier,Inclusive_Mobility_IdentityTransitionRate,Inclusive_Mobility_CompositionDiversity_2050,Intergenerational_Mobility_Convergence_2050,Subnational_Regional_Concentration_2050,Climate_Migration_Stress_2050,Language_Cultural_Integration_2050,Language_Cultural_Friction_2050,Effective_Groups_2050,Urbanization_2024,Urbanization_Layer,Urban_Absorption_Pressure,HDI_2050_Gain_Link,HDI_HealthIndex_2050_Link,HDI_EducationIndex_2050_Link,HDI_IncomeIndex_2050_Link,HDI_HumanCapitalAbsorption_Link,HDI_DependencyPressure_Link,HDI_AgingPressure_Link,HDI_WorkingAgePct_2050_Link,Anchor
AGO,Angola,Ovimbundu,majority,5.0,3.7,5.0,3.7,37.0,37.44,0.44,37.44,0.0,37.44,0.0,37.44,37.44,37.44,37.44,0.0,37.19,0.19,-0.25,14017766,27813292,0.0,0.0,0.0,1.25,unspecified,False,0.5,0.48,0.56,0.42,0.454,1.257,1.0,0.78,0.829,0.0,0.0,0.784,0.0,0.0,1.0,0.761,43.0,44.72,55.0,51.16,2.0,4.12,0.251,0.0,1.0,0.809,1.0,1.0,0.0,0.001,0.7503,0.7483,-0.0019,0.7483,2.2887,0.2477,2.165,2.3,0.0005,0.7494,37.19,0.19,-0.25,2.165,2.3,0.0005,0.7494,0.4831,0.297,0.1145,0.683,0.2508,3.97,0.55,mixed-rural-urban,0.0,0.0487,0.7321,0.5935,0.676,0.3214,0.6202,0.0,51.16,True
AGO,Angola,Kimbundu,majority,5.0,3.7,5.0,3.7,25.0,24.99,-0.01,24.99,0.0,24.99,0.0,24.99,24.99,24.99,24.99,0.0,24.99,-0.01,-0.0,9471464,18565029,0.0,0.0,0.0,1.25,unspecified,False,0.5,0.48,0.56,0.42,0.454,1.211,1.0,0.78,0.819,0.0,0.0,0.784,0.0,0.0,1.0,0.761,43.0,44.72,55.0,51.16,2.0,4.12,0.251,0.0,1.0,0.809,1.0,1.0,0.0,0.001,0.7503,0.7483,-0.0019,0.7483,2.2887,0.2477,2.165,2.3,0.0005,0.7494,24.99,-0.01,-0.0,2.165,2.3,0.0005,0.7494,0.4831,0.297,0.1145,0.683,0.2508,3.97,0.55,mixed-rural-urban,0.0,0.0487,0.7321,0.5935,0.676,0.3214,0.6202,0.0,51.16,False
AGO,Angola,Bakongo,majority,5.0,3.7,5.0,3.7,13.0,12.99,-0.01,12.99,0.0,12.99,0.0,12.99,12.99,12.99,12.99,0.0,12.99,-0.01,-0.0,4925161,9653815,0.0,0.0,0.0,1.25,unspecified,False,0.5,0.48,0.56,0.42,0.454,1.137,1.0,0.78,0.802,0.0,0.0,0.784,0.0,0.0,1.0,0.761,43.0,44.72,55.0,51.16,2.0,4.12,0.251,0.0,1.0,0.809,1.0,1.0,0.0,0.001,0.7503,0.7483,-0.0019,0.7483,2.2887,0.2477,2.165,2.3,0.0005,0.7494,12.99,-0.01,-0.0,2.165,2.3,0.0005,0.7494,0.4831,0.297,0.1145,0.683,0.2508,3.97,0.55,mixed-rural-urban,0.0,0.0487,0.7321,0.5935,0.676,0.3214,0.6202,0.0,51.16,False
AGO,Angola,Chokwe,majority,5.0,3.7,5.0,3.7,4.4,4.4,-0.0,4.4,0.0,4.4,0.0,4.4,4.4,4.4,4.4,0.0,4.4,-0.0,-0.0,1666978,3267445,0.0,0.0,0.0,1.25,unspecified,False,0.5,0.48,0.56,0.42,0.454,1.022,1.0,0.78,0.777,0.0,0.0,0.784,0.0,0.0,1.0,0.761,43.0,44.72,55.0,51.16,2.0,4.12,0.251,0.0,1.0,0.809,1.0,1.0,0.0,0.001,0.7503,0.7483,-0.0019,0.7483,2.2887,0.2477,2.165,2.3,0.0005,0.7494,4.4,-0.0,-0.0,2.165,2.3,0.0005,0.7494,0.4831,0.297,0.1145,0.683,0.2508,3.97,0.55,mixed-rural-urban,0.0,0.0487,0.7321,0.5935,0.676,0.3214,0.6202,0.0,51.16,False
AGO,Angola,Mestico (mixed),majority,5.0,3.7,5.0,3.7,2.0,2.0,-0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,-0.0,-0.0,757717,1485202,0.0,0.0,0.0,1.25,unspecified,False,0.5,0.48,0.56,0.42,0.454,0.952,1.0,0.78,0.761,0.0,0.0,0.784,0.0,0.0,1.0,0.761,43.0,44.72,55.0,51.16,2.0,4.12,0.251,0.0,1.0,0.809,1.0,1.0,0.0,0.001,0.7503,0.7483,-0.0019,0.7483,2.2887,0.2477,2.165,2.3,0.0005,0.7494,2.0,-0.0,-0.0,2.165,2.3,0.0005,0.7494,0.4831,0.297,0.1145,0.683,0.2508,3.97,0.55,mixed-rural-urban,0.0,0.0487,0.7321,0.5935,0.676,0.3214,0.6202,0.0,51.16,False
AGO,Angola,European,low_fertility,4.6,3.54,5.0,3.7,1.0,0.93,-0.07,0.93,0.0,0.93,0.0,0.93,0.93,0.93,0.93,0.0,0.94,-0.06,0.01,378859,692112,0.0,0.0,0.0,1.25,unspecified,False,0.5,0.48,0.56,0.42,0.454,0.903,1.0,0.78,0.75,0.0,0.0,0.784,0.0,0.0,1.0,0.761,43.0,44.72,55.0,51.16,2.0,4.12,0.251,0.0,1.0,0.809,1.0,1.0,0.0,0.001,0.7503,0.7483,-0.0019,0.7483,2.2887,0.2477,2.165,2.3,0.0005,0.7494,0.94,-0.06,0.01,2.165,2.3,0.0005,0.7494,0.4831,0.297,0.1145,0.683,0.2508,3.97,0.55,mixed-rural-urban,0.0,0.0487,0.7321,0.5935,0.676,0.3214,0.6202,0.0,51.16,False
AGO,Angola,Other African,assimilating,5.0,3.7,5.0,3.7,17.6,17.25,-0.35,17.25,0.0,17.25,0.0,17.25,17.25,17.25,17.25,0.0,17.5,-0.1,0.25,6667910,12818502,0.0,0.0,0.0,1.25,unspecified,False,0.5,0.48,0.56,0.42,0.454,1.171,1.0,0.78,0.81,0.0,0.0,0.784,0.0,0.0,1.0,0.761,43.0,44.72,55.0,51.16,2.0,4.12,0.251,0.0,1.0,0.809,1.0,1.0,0.0,0.001,0.7503,0.7483,-0.0019,0.7483,2.2887,0.2477,2.165,2.3,0.0005,0.7494,17.5,-0.1,0.25,2.165,2.3,0.0005,0.7494,0.4831,0.297,0.1145,0.683,0.2508,3.97,0.55,mixed-rural-urban,0.0,0.0487,0.7321,0.5935,0.676,0.3214,0.6202,0.0,51.16,False
ALB,Albania,Albanian (Gheg),majority,1.4,1.61,1.4,1.61,55.0,54.62,-0.38,55.28,-0.67,54.62,0.0,54.82,54.37,54.37,54.82,0.45,54.4,-0.6,-0.21,1535466,1223503,0.637,0.525,0.15,2.433,unspecified,False,0.5,0.48,0.56,0.42,0.751,1.3,1.0,0.78,1.027,0.0,0.0,0.0,0.0,0.0,1.0,0.761,16.849,9.04,63.5,62.3,19.651,28.66,0.251,0.0,1.0,0.867,1.0,1.253,0.0,0.001,0.5999,0.6039,0.004,0.6039,1.5777,0.2044,2.043,2.09,0.0005,0.6055,54.4,-0.6,-0.21,2.043,2.09,0.0005,0.6055,0.7028,0.5802,0.2253,0.7948,0.2647,2.52,0.641,urbanizing-majority,0.229,0.0479,0.9494,0.8088,0.8223,0.6636,0.362,0.7573,62.3,True
ALB,Albania,Albanian (Tosk),majority,1.4,1.61,1.4,1.61,27.6,27.21,-0.39,27.55,-0.34,27.21,0.0,27.32,27.09,27.09,27.32,0.23,27.21,-0.39,-0.0,770525,609655,0.637,0.525,0.15,2.433,unspecified,False,0.5,0.48,0.56,0.42,0.751,1.222,1.0,0.78,0.999,0.0,0.0,0.0,0.0,0.0,1.0,0.761,16.849,9.04,63.5,62.3,19.651,28.66,0.251,0.0,1.0,0.867,1.0,1.253,0.0,0.001,0.5999,0.6039,0.004,0.6039,1.5777,0.2044,2.043,2.09,0.0005,0.6055,27.21,-0.39,-0.0,2.043,2.09,0.0005,0.6055,0.7028,0.5802,0.2253,0.7948,0.2647,2.52,0.641,urbanizing-majority,0.229,0.0479,0.9494,0.8088,0.8223,0.6636,0.362,0.7573,62.3,False
ALB,Albania,Greek,low_fertility,1.0,1.45,1.4,1.61,1.7,1.39,-0.31,1.41,-0.02,1.39,0.0,1.41,1.38,1.38,1.41,0.03,1.42,-0.28,0.03,47460,31183,0.637,0.525,0.15,2.433,unspecified,False,0.5,0.48,0.56,0.42,0.751,0.939,1.0,0.78,0.895,0.0,0.0,0.0,0.0,0.0,1.0,0.761,16.849,9.04,63.5,62.3,19.651,28.66,0.251,0.0,1.0,0.867,1.0,1.253,0.0,0.001,0.5999,0.6039,0.004,0.6039,1.5777,0.2044,2.043,2.09,0.0005,0.6055,1.42,-0.28,0.03,2.043,2.09,0.0005,0.6055,0.7028,0.5802,0.2253,0.7948,0.2647,2.52,0.641,urbanizing-majority,0.229,0.0479,0.9494,0.8088,0.8223,0.6636,0.362,0.7573,62.3,False
