ISO3,Country,Top1,Top1_2050_pct,Top2,Top2_2050_pct,Top3,Top3_2050_pct,Top4,Top4_2050_pct,Top5,Top5_2050_pct
SLB,Solomon Islands,Catholic Christianity,29.1,Protestant Christianity,23.6,Unaffiliated,20.4,Other Christianity,11.1,Orthodox Christianity,5.5
SLE,Sierra Leone,Sunni Islam,50.3,Protestant Christianity,15.2,Catholic Christianity,11.7,African Independent / Syncretic Christianity,6.8,Shia Islam,5.1
SLV,El Salvador,Catholic Christianity,58.2,Protestant Christianity,14.5,Unaffiliated,12.6,Other Christianity,5.7,Other religions,3.0
SMR,San Marino,Unaffiliated,28.4,Catholic Christianity,25.7,Protestant Christianity,20.8,Other Christianity,9.8,Sunni Islam,5.7
SOM,Somalia,Sunni Islam,86.9,Shia Islam,8.9,Ibadi / Other Islam,3.0,Unaffiliated,0.5,Other religions,0.3
SRB,Serbia,Orthodox Christianity,47.0,Unaffiliated,27.4,Sunni Islam,7.3,Catholic Christianity,5.4,Other Christianity,4.2
SSD,South Sudan,Protestant Christianity,30.5,Catholic Christianity,23.5,African Independent / Syncretic Christianity,13.7,Sunni Islam,12.9,Indigenous / Syncretic traditions,5.4
STP,Sao Tome & Principe,Protestant Christianity,32.6,Catholic Christianity,25.1,African Independent / Syncretic Christianity,14.6,Sunni Islam,7.2,Indigenous / Syncretic traditions,5.8
SUR,Suriname,Catholic Christianity,35.9,Hinduism,24.5,Sunni Islam,12.7,Protestant Christianity,9.0,Unaffiliated,7.4
SVK,Slovakia,Catholic Christianity,43.1,Unaffiliated,29.0,Protestant Christianity,10.8,Sunni Islam,6.1,Other Christianity,4.2
SVN,Slovenia,Catholic Christianity,42.9,Unaffiliated,28.5,Protestant Christianity,10.7,Sunni Islam,6.9,Other Christianity,4.2
SWE,Sweden,Unaffiliated,32.8,Protestant Christianity,23.1,Sunni Islam,17.6,Catholic Christianity,11.0,Other Christianity,6.3
SWZ,Eswatini,Protestant Christianity,29.9,Catholic Christianity,23.1,African Independent / Syncretic Christianity,13.4,Indigenous / Syncretic traditions,9.7,Unaffiliated,7.6
SYC,Seychelles,Protestant Christianity,27.8,Catholic Christianity,21.4,Sunni Islam,15.9,African Independent / Syncretic Christianity,12.4,Indigenous / Syncretic traditions,5.0
SYR,Syria,Sunni Islam,80.3,Shia Islam,8.2,Ibadi / Other Islam,2.7,Unaffiliated,2.0,Orthodox Christianity,1.9
