ISO3,Country,Top1,Top1_2050_pct,Top2,Top2_2050_pct,Top3,Top3_2050_pct,Top4,Top4_2050_pct,Top5,Top5_2050_pct
KOR,South Korea,Unaffiliated,44.9,Mahayana Buddhism,22.5,Folk / Traditional,16.4,Catholic Christianity,3.4,Protestant Christianity,2.8
KWT,Kuwait,Sunni Islam,77.7,Shia Islam,7.9,Ibadi / Other Islam,2.6,Unaffiliated,2.6,Hinduism,2.0
LAO,Laos,Unaffiliated,45.0,Theravada Buddhism,23.6,Folk / Traditional,16.5,Catholic Christianity,3.3,Other religions,2.7
LBN,Lebanon,Sunni Islam,39.2,Shia Islam,25.7,Orthodox Christianity,12.3,Catholic Christianity,6.4,Other Christianity,5.1
LBR,Liberia,Protestant Christianity,30.3,Catholic Christianity,23.4,African Independent / Syncretic Christianity,13.6,Sunni Islam,12.8,Indigenous / Syncretic traditions,5.3
LBY,Libya,Sunni Islam,81.1,Shia Islam,8.3,Ibadi / Other Islam,2.8,Unaffiliated,2.4,Orthodox Christianity,1.6
LCA,Saint Lucia,Catholic Christianity,57.1,Protestant Christianity,14.3,Unaffiliated,14.2,Other Christianity,5.5,Other religions,3.1
LIE,Liechtenstein,Unaffiliated,28.0,Catholic Christianity,25.2,Protestant Christianity,20.4,Other Christianity,9.6,Sunni Islam,7.0
LKA,Sri Lanka,Theravada Buddhism,25.9,Other religions,15.7,Hinduism,12.4,Unaffiliated,10.2,Catholic Christianity,9.4
LSO,Lesotho,Protestant Christianity,30.0,Catholic Christianity,23.1,African Independent / Syncretic Christianity,13.4,Indigenous / Syncretic traditions,9.7,Unaffiliated,8.2
LTU,Lithuania,Catholic Christianity,43.1,Unaffiliated,28.7,Protestant Christianity,10.8,Sunni Islam,6.4,Other Christianity,4.2
LUX,Luxembourg,Catholic Christianity,38.9,Unaffiliated,31.6,Protestant Christianity,9.7,Sunni Islam,8.4,Other Christianity,3.8
LVA,Latvia,Unaffiliated,28.0,Catholic Christianity,25.4,Protestant Christianity,20.6,Other Christianity,9.7,Sunni Islam,6.4
MAR,Morocco,Sunni Islam,81.2,Shia Islam,8.3,Ibadi / Other Islam,2.8,Unaffiliated,2.5,Orthodox Christianity,1.5
MDA,Moldova,Orthodox Christianity,48.2,Unaffiliated,27.6,Sunni Islam,5.8,Catholic Christianity,5.6,Other Christianity,4.3
MDG,Madagascar,Protestant Christianity,31.6,Catholic Christianity,24.4,African Independent / Syncretic Christianity,14.1,Sunni Islam,9.4,Indigenous / Syncretic traditions,5.6
