ISO3,Country,Group,Projection_Profile,TFR_2024,TFR_2050,Nat_TFR_2024,Nat_TFR_2050,Share_2024_pct,Share_2050_pct,Change_pp,Share_2050_WithoutMigrationResponse_pct,Migration_Attributed_Change_pp,Share_2050_LowMigrationScenario_pct,Share_2050_HighMigrationScenario_pct,Share_2050_Migration_P10_pct,Share_2050_Migration_P90_pct,Migration_Uncertainty_Width_pp,Pop_2024,Pop_2050,Demographic_Pressure,Birth_Replacement_Pressure_2050,Europe_Migration_Response_2050,Migration_Intensity_2050,Migration_Origin_Candidates,Migration_Channel_Active,Migration_SourceSupply_2050,Migration_BroadLaborMobility_2050,Migration_SkillReadiness_2050,Migration_ClimatePressure_2050,Migration_DestinationPull_2050,Migration_DiasporaNetwork_2050,Migration_CorridorAffinity_2050,Migration_SettlementRetention_2050,Migration_CorridorMultiplier_2050,Skilled_Migration_SourcePressure_2050,Skilled_Migration_ProgramIntensity_2050,BroadLabor_Migration_SourcePressure_2050,BroadLabor_Migration_ProgramIntensity_2050,SSA_LateMigration_DestinationResponse_2050,Policy_Openness,Policy_Feedback_2050,Mixed_Identity_Recognition_Rate,Identity_Category_Transition_Rate,Diversity_Index_2024,Diversity_Index_2050,Diversity_Index_Change,Composition_Diversity_Index_2050,Composition_Concentration_Index_2050,Inclusive_Service_Delivery_Gap_2050,Inclusive_Mobility_Share_2050_pct,Inclusive_Mobility_Change_pp,Inclusive_Mobility_Delta_vs_Baseline_pp,Inclusive_Mobility_IdentityFormationMultiplier,Inclusive_Mobility_MixedIdentityMultiplier,Inclusive_Mobility_IdentityTransitionRate,Inclusive_Mobility_CompositionDiversity_2050,Intergenerational_Mobility_Convergence_2050,Subnational_Regional_Concentration_2050,Climate_Migration_Stress_2050,Language_Access_Capacity_2050,Language_Access_Gap_2050,Effective_Groups_2050,Urbanization_2024,Urbanization_Layer,Urban_Absorption_Pressure,HDI_2050_Gain_Link,HDI_HealthIndex_2050_Link,HDI_EducationIndex_2050_Link,HDI_IncomeIndex_2050_Link,HDI_HumanCapitalAbsorption_Link,HDI_DependencyPressure_Link,HDI_AgingPressure_Link,HDI_WorkingAgePct_2050_Link,Baseline_Reference_Category
AGO,Angola,Ovimbundu,largest_baseline_category,5.0,3.7,5.0,3.7,37.0,38.58,1.58,38.58,0.0,38.58,38.58,38.58,38.58,0.0,14017766,28661708,0.0,0.0,0.0,1.25,unspecified,False,0.5,0.48,0.56,0.42,0.454,1.257,1.0,0.78,0.829,0.0,0.0,0.784,0.0,0.0,1.0,1.0,0.0,0.001,0.7503,0.7437,-0.0066,0.7437,2.2658,0.2477,37.69,0.69,-0.89,2.165,2.3,0.0005,0.7473,0.4831,0.297,0.1145,0.683,0.2508,3.9,0.55,mixed-rural-urban,0.0,0.0487,0.7321,0.5935,0.676,0.3214,0.6202,0.0,51.16,True
AGO,Angola,Kimbundu,largest_baseline_category,5.0,3.7,5.0,3.7,25.0,24.33,-0.67,24.33,0.0,24.33,24.33,24.33,24.33,0.0,9471464,18077397,0.0,0.0,0.0,1.25,unspecified,False,0.5,0.48,0.56,0.42,0.454,1.211,1.0,0.78,0.819,0.0,0.0,0.784,0.0,0.0,1.0,1.0,0.0,0.001,0.7503,0.7437,-0.0066,0.7437,2.2658,0.2477,24.68,-0.32,0.35,2.165,2.3,0.0005,0.7473,0.4831,0.297,0.1145,0.683,0.2508,3.9,0.55,mixed-rural-urban,0.0,0.0487,0.7321,0.5935,0.676,0.3214,0.6202,0.0,51.16,False
AGO,Angola,Bakongo,largest_baseline_category,5.0,3.7,5.0,3.7,13.0,12.65,-0.35,12.65,0.0,12.65,12.65,12.65,12.65,0.0,4925161,9400246,0.0,0.0,0.0,1.25,unspecified,False,0.5,0.48,0.56,0.42,0.454,1.137,1.0,0.78,0.802,0.0,0.0,0.784,0.0,0.0,1.0,1.0,0.0,0.001,0.7503,0.7437,-0.0066,0.7437,2.2658,0.2477,12.83,-0.17,0.18,2.165,2.3,0.0005,0.7473,0.4831,0.297,0.1145,0.683,0.2508,3.9,0.55,mixed-rural-urban,0.0,0.0487,0.7321,0.5935,0.676,0.3214,0.6202,0.0,51.16,False
AGO,Angola,Chokwe,largest_baseline_category,5.0,3.7,5.0,3.7,4.4,4.28,-0.12,4.28,0.0,4.28,4.28,4.28,4.28,0.0,1666978,3181622,0.0,0.0,0.0,1.25,unspecified,False,0.5,0.48,0.56,0.42,0.454,1.022,1.0,0.78,0.777,0.0,0.0,0.784,0.0,0.0,1.0,1.0,0.0,0.001,0.7503,0.7437,-0.0066,0.7437,2.2658,0.2477,4.34,-0.06,0.06,2.165,2.3,0.0005,0.7473,0.4831,0.297,0.1145,0.683,0.2508,3.9,0.55,mixed-rural-urban,0.0,0.0487,0.7321,0.5935,0.676,0.3214,0.6202,0.0,51.16,False
AGO,Angola,Mestico (mixed),largest_baseline_category,5.0,3.7,5.0,3.7,2.0,1.95,-0.05,1.95,0.0,1.95,1.95,1.95,1.95,0.0,757717,1446192,0.0,0.0,0.0,1.25,unspecified,False,0.5,0.48,0.56,0.42,0.454,0.952,1.0,0.78,0.761,0.0,0.0,0.784,0.0,0.0,1.0,1.0,0.0,0.001,0.7503,0.7437,-0.0066,0.7437,2.2658,0.2477,1.97,-0.03,0.03,2.165,2.3,0.0005,0.7473,0.4831,0.297,0.1145,0.683,0.2508,3.9,0.55,mixed-rural-urban,0.0,0.0487,0.7321,0.5935,0.676,0.3214,0.6202,0.0,51.16,False
AGO,Angola,European,lower_fertility_path,4.6,3.54,5.0,3.7,1.0,0.89,-0.11,0.89,0.0,0.89,0.88,0.88,0.89,0.0,378859,658619,0.0,0.0,0.0,1.25,unspecified,False,0.5,0.48,0.56,0.42,0.454,0.903,1.0,0.78,0.75,0.0,0.0,0.784,0.0,0.0,1.0,1.0,0.0,0.001,0.7503,0.7437,-0.0066,0.7437,2.2658,0.2477,0.91,-0.09,0.02,2.165,2.3,0.0005,0.7473,0.4831,0.297,0.1145,0.683,0.2508,3.9,0.55,mixed-rural-urban,0.0,0.0487,0.7321,0.5935,0.676,0.3214,0.6202,0.0,51.16,False
AGO,Angola,Other African,identity_category_transition,5.0,3.7,5.0,3.7,17.6,17.32,-0.28,17.32,0.0,17.32,17.32,17.32,17.32,0.0,6667910,12869614,0.0,0.0,0.0,1.25,unspecified,False,0.5,0.48,0.56,0.42,0.454,1.171,1.0,0.78,0.81,0.0,0.0,0.784,0.0,0.0,1.0,1.0,0.0,0.001,0.7503,0.7437,-0.0066,0.7437,2.2658,0.2477,17.57,-0.03,0.25,2.165,2.3,0.0005,0.7473,0.4831,0.297,0.1145,0.683,0.2508,3.9,0.55,mixed-rural-urban,0.0,0.0487,0.7321,0.5935,0.676,0.3214,0.6202,0.0,51.16,False
ALB,Albania,Albanian (Gheg),largest_baseline_category,1.4,1.61,1.4,1.61,55.0,55.25,0.25,56.04,-0.78,55.5,54.97,54.97,55.5,0.53,1535466,1237801,0.637,0.525,0.15,2.433,unspecified,False,0.5,0.48,0.56,0.42,0.751,1.3,1.0,0.78,1.027,0.0,0.0,0.0,0.0,0.0,1.0,1.253,0.0,0.001,0.5999,0.6005,0.0006,0.6005,1.5673,0.2044,54.62,-0.38,-0.63,2.043,2.09,0.0005,0.6047,0.7028,0.5802,0.2253,0.7948,0.2647,2.5,0.641,urbanizing-majority,0.229,0.0479,0.9494,0.8088,0.8223,0.6636,0.362,0.7573,62.3,True
ALB,Albania,Albanian (Tosk),largest_baseline_category,1.4,1.61,1.4,1.61,27.6,26.45,-1.15,26.83,-0.38,26.57,26.31,26.31,26.57,0.26,770525,592534,0.637,0.525,0.15,2.433,unspecified,False,0.5,0.48,0.56,0.42,0.751,1.222,1.0,0.78,0.999,0.0,0.0,0.0,0.0,0.0,1.0,1.253,0.0,0.001,0.5999,0.6005,0.0006,0.6005,1.5673,0.2044,26.83,-0.77,0.38,2.043,2.09,0.0005,0.6047,0.7028,0.5802,0.2253,0.7948,0.2647,2.5,0.641,urbanizing-majority,0.229,0.0479,0.9494,0.8088,0.8223,0.6636,0.362,0.7573,62.3,False
ALB,Albania,Greek,lower_fertility_path,1.0,1.45,1.4,1.61,1.7,1.31,-0.39,1.33,-0.02,1.32,1.29,1.29,1.32,0.03,47460,29259,0.637,0.525,0.15,2.433,unspecified,False,0.5,0.48,0.56,0.42,0.751,0.939,1.0,0.78,0.895,0.0,0.0,0.0,0.0,0.0,1.0,1.253,0.0,0.001,0.5999,0.6005,0.0006,0.6005,1.5673,0.2044,1.37,-0.33,0.07,2.043,2.09,0.0005,0.6047,0.7028,0.5802,0.2253,0.7948,0.2647,2.5,0.641,urbanizing-majority,0.229,0.0479,0.9494,0.8088,0.8223,0.6636,0.362,0.7573,62.3,False
