ISO3,Country,Group,Profile,Share_2024_pct,Share_2050_pct,Change_pp,Share_2050_WithoutBirthReplacementMigration_pct,BirthReplacementMigration_Attributed_Change_pp,Birth_Replacement_Pressure_2050,Europe_Migration_Response_2050,Migration_Composition_Weight_2050,SSA_LateMigration_CompositionWeight_2050,Share_2050_WithoutSSALateMigration_pct,SSA_LateMigration_Attributed_Change_pp,Pop_2024,Pop_2050
AND,Andorra,Unaffiliated,religion,24.74,28.26,3.52,28.26,0.0,0.0,0.0,0.0,0.0,28.26,0.0,20276,23235
AND,Andorra,Vajrayana / Other Buddhism,religion,0.21,0.17,-0.04,0.17,0.0,0.0,0.0,0.0,0.0,0.17,0.0,169,139
ARE,UAE,African Independent / Syncretic Christianity,religion,0.0,0.07,0.07,0.07,0.0,0.0,0.0,0.0,0.0106,0.0,0.07,0,11424
ARE,UAE,Catholic Christianity,religion,1.55,1.22,-0.33,1.22,0.0,0.0,0.0,0.0,0.0106,1.03,0.19,170921,188224
ARE,UAE,Folk / Traditional,religion,2.58,1.02,-1.56,1.02,0.0,0.0,0.0,0.0,0.0106,1.03,-0.01,284868,157211
ARE,UAE,Hinduism,religion,12.5,2.1,-10.4,2.1,0.0,0.0,0.0,0.0,0.0106,2.12,-0.02,1378392,322696
ARE,UAE,Ibadi / Other Islam,religion,2.16,2.6,0.44,2.6,0.0,0.0,0.0,0.0,0.0106,2.63,-0.03,238186,399876
ARE,UAE,Indigenous / Syncretic traditions,religion,0.0,0.03,0.03,0.03,0.0,0.0,0.0,0.0,0.0106,0.0,0.03,0,4896
ARE,UAE,Orthodox Christianity,religion,2.97,2.01,-0.96,2.01,0.0,0.0,0.0,0.0,0.0106,1.98,0.03,327598,309491
ARE,UAE,Other Christianity,religion,1.23,0.85,-0.37,0.85,0.0,0.0,0.0,0.0,0.0106,0.82,0.03,135312,130991
ARE,UAE,Other religions,religion,2.58,1.69,-0.89,1.69,0.0,0.0,0.0,0.0,0.0106,1.69,0.0,284868,259661
ARE,UAE,Protestant Christianity,religion,0.71,0.76,0.05,0.76,0.0,0.0,0.0,0.0,0.0106,0.47,0.28,78339,116121
ARE,UAE,Shia Islam,religion,6.48,7.81,1.33,7.81,0.0,0.0,0.0,0.0,0.0106,7.89,-0.08,714558,1200443
ARE,UAE,Sunni Islam,religion,63.36,76.81,13.45,76.81,0.0,0.0,0.0,0.0,0.0106,77.31,-0.5,6986793,11803459
ARE,UAE,Unaffiliated,religion,3.88,3.01,-0.86,3.01,0.0,0.0,0.0,0.0,0.0106,3.02,-0.01,427301,462907
ARG,Argentina,Catholic Christianity,religion,60.23,57.62,-2.61,57.62,0.0,0.0,0.0,0.0,0.0,57.62,0.0,27523152,27835754
ARG,Argentina,Folk / Traditional,religion,2.99,2.58,-0.4,2.58,0.0,0.0,0.0,0.0,0.0,2.58,0.0,1365236,1248761
ARG,Argentina,Ibadi / Other Islam,religion,0.03,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.03,0.0,12338,13068
ARG,Argentina,Judaism,religion,0.2,0.2,-0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,91016,96200
ARG,Argentina,Mahayana Buddhism,religion,0.13,0.13,-0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.13,0.0,61436,63640
ARG,Argentina,Orthodox Christianity,religion,2.51,2.4,-0.11,2.4,0.0,0.0,0.0,0.0,0.0,2.4,0.0,1146798,1159823
ARG,Argentina,Other Christianity,religion,5.86,5.6,-0.25,5.6,0.0,0.0,0.0,0.0,0.0,5.6,0.0,2675862,2706254
ARG,Argentina,Other religions,religion,2.99,3.04,0.05,3.04,0.0,0.0,0.0,0.0,0.0,3.04,0.0,1365236,1467980
ARG,Argentina,Protestant Christianity,religion,15.06,14.41,-0.65,14.41,0.0,0.0,0.0,0.0,0.0,14.41,0.0,6880788,6958938
ARG,Argentina,Shia Islam,religion,0.08,0.08,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.08,0.0,37014,39205
ARG,Argentina,Sunni Islam,religion,0.79,0.81,0.01,0.81,0.0,0.0,0.0,0.0,0.0,0.81,0.0,361914,389006
ARG,Argentina,Theravada Buddhism,religion,0.1,0.1,-0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,47783,49497
ARG,Argentina,Unaffiliated,religion,8.96,12.94,3.98,12.94,0.0,0.0,0.0,0.0,0.0,12.94,0.0,4095707,6252536
ARG,Argentina,Vajrayana / Other Buddhism,religion,0.06,0.06,-0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.06,0.0,27305,28284
ARM,Armenia,Catholic Christianity,religion,6.08,5.57,-0.51,5.57,0.0,0.0,0.0,0.0,0.0,5.57,0.0,180708,138910
ARM,Armenia,Folk / Traditional,religion,3.68,3.05,-0.63,3.05,0.0,0.0,0.0,0.0,0.0,3.05,0.0,109520,76081
ARM,Armenia,Hinduism,religion,3.0,2.81,-0.19,2.81,0.0,0.0,0.0,0.0,0.0,2.81,0.0,89215,70169
ARM,Armenia,Mahayana Buddhism,religion,2.21,2.07,-0.14,2.07,0.0,0.0,0.0,0.0,0.0,2.07,0.0,65712,51684
ARM,Armenia,Orthodox Christianity,religion,52.66,48.25,-4.42,48.25,0.0,0.0,0.0,0.0,0.0,48.25,0.0,1566139,1203891
ARM,Armenia,Other Christianity,religion,4.73,4.33,-0.4,4.33,0.0,0.0,0.0,0.0,0.0,4.33,0.0,140551,108041
ARM,Armenia,Other religions,religion,2.46,2.45,-0.0,2.45,0.0,0.0,0.0,0.0,0.0,2.45,0.0,73013,61186
ARM,Armenia,Protestant Christianity,religion,4.05,3.71,-0.34,3.71,0.0,0.0,0.0,0.0,0.0,3.71,0.0,120472,92607
ARM,Armenia,Sunni Islam,religion,0.02,0.02,-0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.0,523,437
ARM,Armenia,Theravada Buddhism,religion,1.72,1.61,-0.11,1.61,0.0,0.0,0.0,0.0,0.0,1.61,0.0,51109,40198
ARM,Armenia,Unaffiliated,religion,18.41,25.21,6.8,25.21,0.0,0.0,0.0,0.0,0.0,25.21,0.0,547601,629026
ARM,Armenia,Vajrayana / Other Buddhism,religion,0.98,0.92,-0.06,0.92,0.0,0.0,0.0,0.0,0.0,0.92,0.0,29205,22970
ATG,Antigua & Barbuda,Catholic Christianity,religion,60.39,57.83,-2.56,57.83,0.0,0.0,0.0,0.0,0.0,57.83,0.0,56634,54974
ATG,Antigua & Barbuda,Folk / Traditional,religion,3.0,2.6,-0.4,2.6,0.0,0.0,0.0,0.0,0.0,2.6,0.0,2809,2468
ATG,Antigua & Barbuda,Hinduism,religion,0.4,0.39,-0.01,0.39,0.0,0.0,0.0,0.0,0.0,0.39,0.0,375,372
ATG,Antigua & Barbuda,Judaism,religion,0.2,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,187,191
ATG,Antigua & Barbuda,Mahayana Buddhism,religion,0.13,0.13,-0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.13,0.0,126,125
ATG,Antigua & Barbuda,Orthodox Christianity,religion,2.52,2.41,-0.11,2.41,0.0,0.0,0.0,0.0,0.0,2.41,0.0,2360,2291
ATG,Antigua & Barbuda,Other Christianity,religion,5.87,5.62,-0.25,5.62,0.0,0.0,0.0,0.0,0.0,5.62,0.0,5506,5345
ATG,Antigua & Barbuda,Other religions,religion,3.0,3.06,0.06,3.06,0.0,0.0,0.0,0.0,0.0,3.06,0.0,2809,2906
ATG,Antigua & Barbuda,Protestant Christianity,religion,15.1,14.46,-0.64,14.46,0.0,0.0,0.0,0.0,0.0,14.46,0.0,14158,13744
ATG,Antigua & Barbuda,Shia Islam,religion,0.02,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.02,0.0,21,21
ATG,Antigua & Barbuda,Sunni Islam,religion,0.22,0.22,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.22,0.0,206,213
