City,Country,ISO3,Country_Alpha2,Continent,Latitude,Longitude,GeoNames_Population,Is_Capital,City_Rank_In_Selected_Country,Matched_Subdivision,City_HDI_2025,City_HDI_2050,City_HDI_Change,National_HDI_2025,National_HDI_2050,Urban_Premium_2025,Urban_Premium_2050,Projection_Method,Confidence,Data_Status,GeoNames_ID
Pljevlja,Montenegro,MNE,ME,Europe,43.3567,19.35843,19489,False,4,Pljevlja,0.863124,0.875619,0.012495,0.862,0.8749,0.001124,0.000719,national_fallback_plus_bounded_urban_premium,modeled,modeled_city_estimate_not_official_undp_city_hdi,3193161
Budva,Montenegro,MNE,ME,Europe,42.28721,18.83922,18000,False,5,Budva,0.86298,0.875527,0.012547,0.862,0.8749,0.00098,0.000627,national_fallback_plus_bounded_urban_premium,modeled,modeled_city_estimate_not_official_undp_city_hdi,3203106
Windhoek,Namibia,NAM,NA,Africa,-22.55941,17.08323,386219,True,1,Khomas,0.767414,0.874907,0.107494,0.665,0.7983,0.008779,0.005618,matched_subdivision_plus_bounded_urban_premium,higher,modeled_city_estimate_not_official_undp_city_hdi,3352136
Bucharest,Romania,ROU,RO,Europe,44.43225,26.10626,1877155,True,1,Bucharest,0.848505,0.874543,0.026038,0.845,0.8723,0.003505,0.002243,national_fallback_plus_bounded_urban_premium,modeled,modeled_city_estimate_not_official_undp_city_hdi,683506
Bandar Seri Begawan,Brunei,BRN,BN,,4.89035,114.94006,64409,True,1,Brunei-Muara District,0.839276,0.874457,0.03518,0.837,0.873,0.002276,0.001457,national_fallback_plus_bounded_urban_premium,modeled,modeled_city_estimate_not_official_undp_city_hdi,1820906
Sengkurong,Brunei,BRN,BN,,4.88333,114.83333,40972,False,2,Brunei-Muara District,0.838527,0.873977,0.03545,0.837,0.873,0.001527,0.000977,national_fallback_plus_bounded_urban_premium,modeled,modeled_city_estimate_not_official_undp_city_hdi,1820575
Mentiri,Brunei,BRN,BN,,4.97058,115.02078,39324,False,3,Brunei-Muara District,0.838371,0.873878,0.035506,0.837,0.873,0.001371,0.000878,national_fallback_plus_bounded_urban_premium,modeled,modeled_city_estimate_not_official_undp_city_hdi,1820635
Kuala Belait,Brunei,BRN,BN,,4.58361,114.2312,31178,False,4,Belait,0.838215,0.873778,0.035562,0.837,0.873,0.001215,0.000778,national_fallback_plus_bounded_urban_premium,modeled,modeled_city_estimate_not_official_undp_city_hdi,1820491
Sector 3,Romania,ROU,RO,Europe,44.4234,26.16874,385439,False,2,Bucharest,0.84726,0.873746,0.026486,0.845,0.8723,0.00226,0.001446,national_fallback_plus_bounded_urban_premium,modeled,modeled_city_estimate_not_official_undp_city_hdi,11048319
Seria,Brunei,BRN,BN,,4.60637,114.32476,30097,False,5,Belait,0.83806,0.873678,0.035618,0.837,0.873,0.00106,0.000678,national_fallback_plus_bounded_urban_premium,modeled,modeled_city_estimate_not_official_undp_city_hdi,1820187
Iasi,Romania,ROU,RO,Europe,47.16667,27.6,378954,False,3,Iasi County,0.847109,0.87365,0.026541,0.845,0.8723,0.002109,0.00135,national_fallback_plus_bounded_urban_premium,modeled,modeled_city_estimate_not_official_undp_city_hdi,675810
Sector 6,Romania,ROU,RO,Europe,44.43579,26.01649,367760,False,4,Bucharest,0.846953,0.87355,0.026597,0.845,0.8723,0.001953,0.00125,national_fallback_plus_bounded_urban_premium,modeled,modeled_city_estimate_not_official_undp_city_hdi,11048323
Constanta,Romania,ROU,RO,Europe,44.18073,28.63432,317832,False,5,Constanta County,0.846748,0.873419,0.026671,0.845,0.8723,0.001748,0.001119,national_fallback_plus_bounded_urban_premium,modeled,modeled_city_estimate_not_official_undp_city_hdi,680963
Bekasi,Indonesia,IDN,ID,Asia/Pacific,-6.2349,106.9896,2648272,False,3,West Java,0.733976,0.87337,0.139394,0.728,0.8724,0.00685,0.004384,matched_subdivision_plus_bounded_urban_premium,higher,modeled_city_estimate_not_official_undp_city_hdi,1649378
Manila,Philippines,PHL,PH,Asia/Pacific,14.6042,120.9822,1600000,True,1,National Capital Region,0.763802,0.873174,0.109372,0.72,0.841,0.008398,0.005375,matched_subdivision_plus_bounded_urban_premium,higher,modeled_city_estimate_not_official_undp_city_hdi,1701668
Bandung,Indonesia,IDN,ID,Asia/Pacific,-6.92222,107.60694,2528163,False,4,West Java,0.733592,0.873125,0.139532,0.728,0.8724,0.006466,0.004139,matched_subdivision_plus_bounded_urban_premium,higher,modeled_city_estimate_not_official_undp_city_hdi,1650357
Port Louis,Mauritius,MUS,MU,Africa,-20.16194,57.49889,155226,True,1,"North (Port Louis, Pamplemousses, Riviere du Rempart, Flacq, Moka)",0.822069,0.872792,0.050723,0.806,0.8639,0.003562,0.00228,matched_subdivision_plus_bounded_urban_premium,higher,modeled_city_estimate_not_official_undp_city_hdi,934154
Quezon City,Philippines,PHL,PH,Asia/Pacific,14.6488,121.0509,3084270,False,2,National Capital Region,0.763031,0.872681,0.109649,0.72,0.841,0.007627,0.004882,matched_subdivision_plus_bounded_urban_premium,higher,modeled_city_estimate_not_official_undp_city_hdi,1692192
Liberia,Costa Rica,CRI,CR,America,10.63517,-85.43779,45380,False,5,Guanacaste,0.823396,0.872441,0.049045,0.833,0.8826,0.001105,0.000707,matched_subdivision_plus_bounded_urban_premium,higher,modeled_city_estimate_not_official_undp_city_hdi,3623076
