Rank_Source,Subdivision,Country_Source,ISO3,Country,Continent_Source,National_HDI_Source,National_Rank_Source,Subdivision_HDI_2025_Source,Subdivision_Weight_2024,Subdivision_Weight_2050,Subdivision_Weight,Weight_Method,National_HDI_2025_Target,National_HDI_2050_Target,Subdivision_HDI_2025_Reconciled,Subdivision_HDI_2050_Projected,Subdivision_HDI_Change_2025_to_2050,Country_Subdivision_Count,Country_Source_Mean_HDI_2025,Country_Internal_Gap_Shrink_Factor,Population_2024,Population_2050,Subdivision_Population_2024_Est,Subdivision_Population_2050_Est,Subdivision_Population_Growth_2024_to_2050,Population_Weight_Confidence,DevelopmentMomentumTier,Trajectory
132,Tasmania,Australia,AUS,Australia,Asia/Pacific,0.958,8.0,0.935,0.09256272075456631,0.07559161970520385,0.07559161970520385,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.958,0.9571,0.933736,0.934065,0.000328,8,0.959264,0.86,26713206,32506964,2472647.0274372054,2457254.0604587523,-0.006225,modeled_proxy_not_official_subdivision_projection,emerging_mover,slow_growth
3,Oslo og Akershus,Norway,NOR,Norway,Europe,0.97,1.0,0.982,0.20232035783218036,0.242477996530616,0.242477996530616,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.97,0.9676,0.982029,0.977023,-0.005005,7,0.969971,0.86,5576656,5899827,1128271.0374269756,1430578.2308372345,0.267938,modeled_proxy_not_official_subdivision_projection,emerging_mover,slow_growth
10,Vestlandet,Norway,NOR,Norway,Europe,0.97,2.0,0.974,0.16317143461904482,0.17239920572041229,0.17239920572041229,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.97,0.9676,0.974029,0.970143,-0.003885,7,0.969971,0.86,5576656,5899827,909950.959896904,1017125.4886878429,0.117781,modeled_proxy_not_official_subdivision_projection,emerging_mover,slow_growth
13,Trondelag,Norway,NOR,Norway,Europe,0.97,3.0,0.972,0.15463053866374063,0.15830731827097128,0.15830731827097128,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.97,0.9676,0.972029,0.968423,-0.003605,7,0.969971,0.86,5576656,5899827,862321.3212223812,933985.7906326697,0.083106,modeled_proxy_not_official_subdivision_projection,emerging_mover,slow_growth
15,Agder og Rogaland,Norway,NOR,Norway,Europe,0.97,4.0,0.97,0.14653669953483278,0.14536729977044963,0.14536729977044963,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.97,0.9676,0.970029,0.966703,-0.003325,7,0.969971,0.86,5576656,5899827,817184.7646811225,857641.9201027926,0.049508,modeled_proxy_not_official_subdivision_projection,emerging_mover,slow_growth
30,Nord-Norge,Norway,NOR,Norway,Europe,0.97,5.0,0.962,0.1181818959971978,0.10335456155495862,0.10335456155495862,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.97,0.9676,0.962029,0.959823,-0.002205,7,0.969971,0.86,5576656,5899827,659059.7794041492,609774.0328351068,-0.074782,modeled_proxy_not_official_subdivision_projection,emerging_mover,slow_growth
40,Sor-Ostlandet,Norway,NOR,Norway,Europe,0.97,6.0,0.959,0.10902539238960211,0.09094487828792731,0.09094487828792731,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.97,0.9676,0.959029,0.957243,-0.001785,7,0.969971,0.86,5576656,5899827,607997.108621829,536559.0484348274,-0.117497,modeled_proxy_not_official_subdivision_projection,emerging_mover,slow_growth
42,Hedmark og Oppland,Norway,NOR,Norway,Europe,0.97,7.0,0.958,0.10613368096340153,0.08714873986466491,0.08714873986466491,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.97,0.9676,0.958029,0.956383,-0.001645,7,0.969971,0.86,5576656,5899827,591871.0287466389,514162.4884695264,-0.131293,modeled_proxy_not_official_subdivision_projection,emerging_mover,slow_growth
4,London,United Kingdom,GBR,UK,Europe,0.946,1.0,0.982,0.13416925473476,0.17237909219292666,0.17237909219292666,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.946,0.9442,0.988782,0.978452,-0.010331,12,0.939218,0.86,69138185,75504685,9276218.755163962,13015429.056612886,0.403096,modeled_proxy_not_official_subdivision_projection,emerging_mover,slow_growth
36,South East,United Kingdom,GBR,UK,Europe,0.946,2.0,0.96,0.10970900717313853,0.1260278705502369,0.1260278705502369,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.946,0.9442,0.966782,0.959532,-0.007251,12,0.939218,0.86,69138185,75504685,7585081.6341027785,9515694.667116413,0.254528,modeled_proxy_not_official_subdivision_projection,emerging_mover,slow_growth
103,South West,United Kingdom,GBR,UK,Europe,0.946,3.0,0.942,0.08892087117788317,0.09027323450134817,0.09027323450134817,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.946,0.9442,0.948782,0.944052,-0.004731,12,0.939218,0.86,69138185,75504685,6147827.641857654,6816052.134955426,0.108693,modeled_proxy_not_official_subdivision_projection,emerging_mover,slow_growth
128,Scotland,United Kingdom,GBR,UK,Europe,0.946,4.0,0.937,0.083880239159682,0.08228238925842755,0.08228238925842755,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.946,0.9442,0.943782,0.939752,-0.004031,12,0.939218,0.86,69138185,75504685,5799327.492866338,6212705.882004956,0.07128,modeled_proxy_not_official_subdivision_projection,emerging_mover,slow_growth
138,East of England,United Kingdom,GBR,UK,Europe,0.946,5.0,0.934,0.08099407142946603,0.07783154081516311,0.07783154081516311,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.946,0.9442,0.940782,0.937172,-0.003611,12,0.939218,0.86,69138185,75504685,5599783.094393637,5876645.972313534,0.049442,modeled_proxy_not_official_subdivision_projection,emerging_mover,slow_growth
149,North West,United Kingdom,GBR,UK,Europe,0.946,6.0,0.932,0.07912534400849916,0.07499888111325259,0.07499888111325259,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.946,0.9442,0.938782,0.935452,-0.003331,12,0.939218,0.86,69138185,75504685,5470582.672248256,5662766.8938085865,0.03513,modeled_proxy_not_official_subdivision_projection,emerging_mover,slow_growth
153,East Midlands,United Kingdom,GBR,UK,Europe,0.946,7.0,0.931,0.07820721152491185,0.07362144925855992,0.07362144925855992,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.946,0.9442,0.937782,0.934592,-0.003191,12,0.939218,0.86,69138185,75504685,5407104.658743488,5558764.33551105,0.028048,modeled_proxy_not_official_subdivision_projection,emerging_mover,slow_growth
160,West Midlands,United Kingdom,GBR,UK,Europe,0.946,8.0,0.93,0.07729973260963417,0.07226931536146551,0.07226931536146551,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.946,0.9442,0.936782,0.933732,-0.003051,12,0.939218,0.86,69138185,75504685,5344363.21361542,5456671.891533115,0.021014,modeled_proxy_not_official_subdivision_projection,emerging_mover,slow_growth
171,Yorkshire and The Humber,United Kingdom,GBR,UK,Europe,0.946,9.0,0.926,0.07377390167037727,0.06710459394885113,0.06710459394885113,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.946,0.9442,0.932782,0.930292,-0.002491,12,0.939218,0.86,69138185,75504685,5100593.661858353,5066711.22816091,-0.006643,modeled_proxy_not_official_subdivision_projection,emerging_mover,slow_growth
215,North East,United Kingdom,GBR,UK,Europe,0.946,10.0,0.916,0.06564696534338149,0.05575040588190962,0.05575040588190962,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.946,0.9442,0.922782,0.921692,-0.001091,12,0.939218,0.86,69138185,75504685,4538712.034599298,4209416.8347357325,-0.072553,modeled_proxy_not_official_subdivision_projection,emerging_mover,slow_growth
217,Wales,United Kingdom,GBR,UK,Europe,0.946,11.0,0.915,0.06488522949141205,0.054726492140345556,0.054726492140345556,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.946,0.9442,0.921782,0.920832,-0.000951,12,0.939218,0.86,69138185,75504685,4486047.000344702,4132106.550211767,-0.078898,modeled_proxy_not_official_subdivision_projection,emerging_mover,slow_growth
228,Northern Ireland,United Kingdom,GBR,UK,Europe,0.946,12.0,0.913,0.06338817167685432,0.05273473497751321,0.05273473497751321,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.946,0.9442,0.919782,0.919112,-0.000671,12,0.939218,0.86,69138185,75504685,4382543.140206113,3981719.553035617,-0.091459,modeled_proxy_not_official_subdivision_projection,emerging_mover,slow_growth
5,Berlin,Germany,DEU,Germany,Europe,0.959,1.0,0.977,0.08704403436688155,0.10446474275711976,0.10446474275711976,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.959,0.9491,0.980336,0.965621,-0.014715,16,0.955664,0.86,84552234,78294606,7359767.562092611,8179025.875060045,0.111316,modeled_proxy_not_official_subdivision_projection,emerging_mover,slow_growth
6,Hamburg,Germany,DEU,Germany,Europe,0.959,2.0,0.977,0.08704403436688155,0.10446474275711976,0.10446474275711976,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.959,0.9491,0.980336,0.965621,-0.014715,16,0.955664,0.86,84552234,78294606,7359767.562092611,8179025.875060045,0.111316,modeled_proxy_not_official_subdivision_projection,emerging_mover,slow_growth
12,Baden-Wurttemberg,Germany,DEU,Germany,Europe,0.959,3.0,0.972,0.08100839987783684,0.09294294797688024,0.09294294797688024,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.959,0.9491,0.975336,0.961321,-0.014015,16,0.955664,0.86,84552234,78294606,6849441.182436432,7276931.4923283355,0.062412,modeled_proxy_not_official_subdivision_projection,emerging_mover,slow_growth
20,Bayern,Germany,DEU,Germany,Europe,0.959,4.0,0.967,0.07539127636372929,0.08269193366720198,0.08269193366720198,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.959,0.9491,0.970336,0.957021,-0.013315,16,0.955664,0.86,84552234,78294606,6374500.840664708,6474332.365851714,0.015661,modeled_proxy_not_official_subdivision_projection,emerging_mover,slow_growth
28,Hessen,Germany,DEU,Germany,Europe,0.959,5.0,0.963,0.07117933554725529,0.0753113635785094,0.0753113635785094,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.959,0.9491,0.966336,0.953581,-0.012755,16,0.955664,0.86,84552234,78294606,6018371.835156048,5896473.538702143,-0.020254,modeled_proxy_not_official_subdivision_projection,emerging_mover,slow_growth
33,Bremen,Germany,DEU,Germany,Europe,0.959,6.0,0.961,0.06916244636344888,0.07187191103127967,0.07187191103127967,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.959,0.9491,0.964336,0.951861,-0.012475,16,0.955664,0.86,84552234,78294606,5847839.348934779,5627182.956661096,-0.037733,modeled_proxy_not_official_subdivision_projection,emerging_mover,slow_growth
52,Nordrhein-Westfalen,Germany,DEU,Germany,Europe,0.959,7.0,0.955,0.06344824252475788,0.0624676599785088,0.0624676599785088,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.959,0.9491,0.958336,0.946701,-0.011635,16,0.955664,0.86,84552234,78294606,5364690.648842079,4890880.825759315,-0.08832,modeled_proxy_not_official_subdivision_projection,emerging_mover,slow_growth
60,Sachsen,Germany,DEU,Germany,Europe,0.959,8.0,0.953,0.06165041632849121,0.05961477640259817,0.05961477640259817,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.959,0.9491,0.956336,0.944981,-0.011355,16,0.955664,0.86,84552234,78294606,5212680.42760401,4667515.430219521,-0.104584,modeled_proxy_not_official_subdivision_projection,emerging_mover,slow_growth
75,Rheinland-Pfalz,Germany,DEU,Germany,Europe,0.959,9.0,0.948,0.05737557564856769,0.053039646828234775,0.053039646828234775,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.959,0.9491,0.951336,0.940681,-0.010655,16,0.955664,0.86,84552234,78294606,4851233.098122397,4152718.2507957914,-0.143987,modeled_proxy_not_official_subdivision_projection,emerging_mover,slow_growth
90,Niedersachsen,Germany,DEU,Germany,Europe,0.959,10.0,0.945,0.054954300105337764,0.049447990383684935,0.049447990383684935,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.959,0.9491,0.948336,0.938101,-0.010235,16,0.955664,0.86,84552234,78294606,4646508.841812743,3871510.924582401,-0.166791,modeled_proxy_not_official_subdivision_projection,emerging_mover,slow_growth
95,Saarland,Germany,DEU,Germany,Europe,0.959,11.0,0.944,0.0541701314566299,0.04830565629814571,0.04830565629814571,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.959,0.9491,0.947336,0.937241,-0.010095,16,0.955664,0.86,84552234,78294606,4580205.630731732,3782072.3274347372,-0.174257,modeled_proxy_not_official_subdivision_projection,emerging_mover,slow_growth
119,Schleswig-Holstein,Germany,DEU,Germany,Europe,0.959,12.0,0.939,0.05041397382820868,0.04297785053418535,0.04297785053418535,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.959,0.9491,0.942336,0.932941,-0.009395,16,0.955664,0.86,84552234,78294606,4262614.111992576,3364933.874300931,-0.210594,modeled_proxy_not_official_subdivision_projection,emerging_mover,slow_growth
126,Thuringen,Germany,DEU,Germany,Europe,0.959,13.0,0.937,0.048985477794281744,0.04101506204556426,0.04101506204556426,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.959,0.9491,0.940336,0.931221,-0.009115,16,0.955664,0.86,84552234,78294606,4141831.581063914,3211258.1229230077,-0.224677,modeled_proxy_not_official_subdivision_projection,emerging_mover,slow_growth
129,Brandenburg,Germany,DEU,Germany,Europe,0.959,14.0,0.936,0.048286481066917,0.0400675431872324,0.0400675431872324,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.959,0.9491,0.939336,0.930361,-0.008975,16,0.955664,0.86,84552234,78294606,4082729.8462065356,3137072.507232345,-0.231624,modeled_proxy_not_official_subdivision_projection,emerging_mover,slow_growth
147,Mecklenburg-Vorpommern,Germany,DEU,Germany,Europe,0.959,15.0,0.932,0.04558882411907029,0.03649136232338623,0.03649136232338623,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.959,0.9491,0.935336,0.926921,-0.008415,16,0.955664,0.86,84552234,78294606,3854636.924700475,2857076.8355127694,-0.258795,modeled_proxy_not_official_subdivision_projection,emerging_mover,slow_growth
156,Sachsen-Anhalt,Germany,DEU,Germany,Europe,0.959,16.0,0.93,0.04429705024170439,0.0348248102503486,0.0348248102503486,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.959,0.9491,0.933336,0.925201,-0.008135,16,0.955664,0.86,84552234,78294606,3745414.557546346,2726594.797575805,-0.272018,modeled_proxy_not_official_subdivision_projection,emerging_mover,slow_growth
7,Stockholm,Sweden,SWE,Sweden,Europe,0.959,1.0,0.976,0.19991297545076647,0.25524600868630926,0.25524600868630926,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.959,0.9576,0.97971,0.973914,-0.005796,8,0.95529,0.86,10606993,11309632,2120475.5312154517,2886738.427710961,0.361364,modeled_proxy_not_official_subdivision_projection,emerging_mover,slow_growth
44,Vastsverige,Sweden,SWE,Sweden,Europe,0.959,2.0,0.958,0.13642386803482434,0.13996590814723905,0.13996590814723905,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.959,0.9576,0.96171,0.958434,-0.003276,8,0.95529,0.86,10606993,11309632,1447047.0132783055,1582962.9136910755,0.093926,modeled_proxy_not_official_subdivision_projection,emerging_mover,slow_growth
48,Ovre Norrland,Sweden,SWE,Sweden,Europe,0.959,3.0,0.957,0.13352181777146965,0.13526355764465028,0.13526355764465028,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.959,0.9576,0.96071,0.957574,-0.003136,8,0.95529,0.86,10606993,11309632,1416264.9864492542,1529781.0599717814,0.080152,modeled_proxy_not_official_subdivision_projection,emerging_mover,slow_growth
76,Ostra Mellansverige,Sweden,SWE,Sweden,Europe,0.959,4.0,0.948,0.11002949801620587,0.09945065815133067,0.09945065815133067,modeled_population_proxy_population_first_evolved_to_2050_then_hdi_reconciled,0.959,0.9576,0.95171,0.949834,-0.001876,8,0.95529,0.86,10606993,11309632,1167082.1152514096,1124750.34584935,-0.036271,modeled_proxy_not_official_subdivision_projection,emerging_mover,slow_growth
