ISO3,Country,Group,Share_2024_pct,Share_2050_pct,Change_pp,Pop_2024,Pop_2050,Anchor
AUT,Austria,Bosnian,1.7,1.89,0.19,155054,164890,False
AUT,Austria,Romanian,0.8,0.86,0.06,72967,75301,False
AUT,Austria,Hungarian,0.6,0.65,0.05,54725,56476,False
AUT,Austria,Croatian,0.5,0.54,0.04,45604,47063,False
AUT,Austria,Polish,0.4,0.43,0.03,36483,37651,False
AUT,Austria,Syrian,0.6,1.43,0.83,54725,124840,False
AUT,Austria,Afghan,0.5,1.15,0.65,45604,100728,False
AUT,Austria,Iraqi,0.4,0.52,0.12,36483,45477,False
AUT,Austria,Indian,0.4,0.43,0.03,36483,37651,False
AUT,Austria,Chinese,0.3,0.29,-0.01,27362,25434,False
AUT,Austria,Other,6.0,6.47,0.47,547249,564758,False
AZE,Azerbaijan,Azerbaijani,91.6,91.13,-0.47,9468305,10228871,True
AZE,Azerbaijan,Lezgin,2.0,2.28,0.28,206732,255559,False
AZE,Azerbaijan,Russian,1.3,1.03,-0.27,134376,115605,False
AZE,Azerbaijan,Talysh,1.3,1.48,0.18,134376,166114,False
AZE,Azerbaijan,Armenian (Nagorno-Karabakh),1.0,0.96,-0.04,103366,107325,False
AZE,Azerbaijan,Avars,0.6,0.68,0.08,62019,76668,False
AZE,Azerbaijan,Other,2.2,2.45,0.25,227405,274779,False
BDI,Burundi,Hutu,85.0,85.39,0.39,11940620,20604909,True
BDI,Burundi,Tutsi,14.0,13.64,-0.36,1966690,3291691,False
BDI,Burundi,Twa,1.0,0.97,-0.03,140478,235121,False
BEL,Belgium,Flemish,50.0,48.82,-1.18,5869380,5794883,True
BEL,Belgium,Walloon,17.0,15.74,-1.26,1995589,1868979,False
BEL,Belgium,Italian,3.0,2.68,-0.32,352163,318523,False
BEL,Belgium,Moroccan,2.5,3.34,0.84,293469,396799,False
BEL,Belgium,French,2.0,2.04,0.04,234775,242406,False
BEL,Belgium,Turkish,1.8,2.17,0.37,211298,257559,False
BEL,Belgium,Dutch,1.5,1.53,0.03,176081,181804,False
BEL,Belgium,German-speaking,0.8,0.74,-0.06,93910,87952,False
BEL,Belgium,Sub-Saharan African,2.0,2.19,0.19,234775,260458,False
BEL,Belgium,Other,19.4,20.74,1.34,2277320,2461539,False
BEN,Benin,Fon,38.4,39.44,1.04,5553685,9636333,True
BEN,Benin,Adja,15.1,14.5,-0.6,2183871,3543956,False
BEN,Benin,Yoruba,12.0,11.53,-0.47,1735527,2816389,False
BEN,Benin,Bariba,9.6,9.22,-0.38,1388421,2253111,False
BEN,Benin,Fulani (Peulh),8.6,9.62,1.02,1243794,2350511,False
BEN,Benin,Ottamari (Somba),6.1,5.86,-0.24,882226,1431664,False
BEN,Benin,Yoa-Lokpa,4.3,4.13,-0.17,621897,1009206,False
BEN,Benin,Dendi,2.9,2.79,-0.11,419419,680627,False
BEN,Benin,Other,3.0,2.91,-0.09,433882,712016,False
BFA,Burkina Faso,Mossi,52.0,52.45,0.45,12245367,19564706,True
BFA,Burkina Faso,Fulani,8.4,9.42,1.02,1978098,3513196,False
BFA,Burkina Faso,Gurma,7.0,6.72,-0.28,1648415,2505532,False
BFA,Burkina Faso,Bobo,4.9,4.7,-0.2,1153890,1753873,False
BFA,Burkina Faso,Gurunsi,4.6,4.41,-0.19,1083244,1646493,False
BFA,Burkina Faso,Senufo,4.5,4.32,-0.18,1059695,1610699,False
BFA,Burkina Faso,Bissa,3.1,2.97,-0.13,730012,1109593,False
BFA,Burkina Faso,Lobi,2.5,2.4,-0.1,588720,894833,False
BFA,Burkina Faso,Other,13.0,12.61,-0.39,3061342,4705462,False
BGD,Bangladesh,Bengali,98.0,97.91,-0.09,170091119,210221706,True
BGD,Bangladesh,Chakma,0.4,0.45,0.05,694249,964806,False
BGD,Bangladesh,Santal,0.3,0.34,0.04,520687,723604,False
BGD,Bangladesh,Marma,0.2,0.22,0.02,347125,482403,False
BGD,Bangladesh,Bihari (Urdu-speaking),0.3,0.29,-0.01,520687,626668,False
BGD,Bangladesh,Other,0.8,0.79,-0.01,1388499,1689909,False
BGR,Bulgaria,Bulgarian,84.0,79.79,-4.21,5676456,4310216,True
BGR,Bulgaria,Turkish,8.8,10.99,2.19,594676,593503,False
BGR,Bulgaria,Romani,4.9,6.74,1.84,331127,363890,False
BGR,Bulgaria,Russian,0.5,0.54,0.04,33788,29263,False
BGR,Bulgaria,Greek,0.3,0.33,0.03,20273,17558,False
BGR,Bulgaria,Other,1.5,1.63,0.13,101365,87789,False
