ISO3,Country,Top1,Top1_2050_pct,Top2,Top2_2050_pct,Top3,Top3_2050_pct,Top4,Top4_2050_pct,Top5,Top5_2050_pct
RWA,Rwanda,Hutu,85.4,Tutsi,13.6,Twa,1.0,,,,
SAU,Saudi Arabia,Saudi Arab,60.8,Other foreign,15.6,Bangladeshi,4.4,Indian,4.0,Pakistani,3.6
SDN,Sudan,Sudanese Arab,70.5,Beja,5.8,Other,4.9,Nubian,4.9,Fur,4.9
SEN,Senegal,Wolof,41.2,Pular (Fula),26.8,Serer,15.6,Other,5.2,Mandinka,4.8
SGP,Singapore,Chinese,70.6,Malay,16.3,Indian,8.9,Filipino,1.2,Other,0.9
SLB,Solomon Islands,Melanesian,95.4,Polynesian,3.0,Micronesian,1.2,Other,0.4,,
SLE,Sierra Leone,Temne,37.1,Mende,32.3,Other,11.4,Limba,6.2,Kono,4.3
SLV,El Salvador,Mestizo,89.2,White,9.8,Other,0.8,Indigenous (Nahua-Pipil),0.3,,
SMR,San Marino,Sammarinese,82.8,Italian,12.7,Other,4.5,,,,
SOM,Somalia,Somali (Darood),34.0,Somali (Hawiye),29.4,Somali (Isaaq),14.7,Other Somali clans (Dir/other),6.9,Somali (Rahanweyn),5.9
SRB,Serbia,Serb,79.7,Other,10.8,Romani,2.9,Bosniak,2.6,Hungarian,2.2
SSD,South Sudan,Dinka,40.3,Other (60+ groups),24.1,Nuer,16.4,Shilluk,5.0,Azande,4.1
STP,Sao Tome & Principe,Mestico (Forros),46.1,Other African,19.6,Angolares,14.5,Tongas (mixed),9.8,Other,6.7
SUR,Suriname,Hindustani (East Indian),27.9,Maroon (Ndyuka/Saramaka),23.1,Creole,14.5,Javanese,12.7,Mixed,12.3
SVK,Slovakia,Slovak,80.5,Other,8.2,Hungarian,6.7,Romani,2.9,Rusyn / Ukrainian,1.0
SVN,Slovenia,Slovene,81.4,Other,13.4,Serb,2.2,Croat,1.7,Bosniak,1.2
SWE,Sweden,Swedish,73.0,Other Nordic/European,4.5,South/East Asian,3.5,Syrian,3.5,Other,3.4
SWZ,Eswatini,Swazi (Emaswati),84.7,Zulu,9.6,Other,3.7,Tsonga,1.9,,
SYC,Seychelles,Seychellois Creole (mixed),77.1,Other African,9.8,Indian,5.9,Other,4.0,French/Chinese,3.2
SYR,Syria,Syrian Arab,82.1,Kurdish,9.4,Other,5.2,Turkmen,1.8,Armenian,0.7
TCD,Chad,Sara,28.8,Arab,13.6,Mayo-Kebbi,10.9,Other,10.8,Kanem-Bornou,9.3
TGO,Togo,Adja-Ewe/Mina,43.8,Kabye/Tem,25.2,Akan-Peul/Gurma,16.6,Other,10.4,Akposso/Ake,3.9
THA,Thailand,Central Thai,37.1,Isan (Thai-Lao),31.6,Northern Thai (Lanna),12.5,Thai Chinese,9.6,Malay (Muslim),4.3
TJK,Tajikistan,Tajik,84.7,Uzbek,13.4,Kyrgyz,0.8,Other,0.7,Russian,0.4
TKM,Turkmenistan,Turkmen,85.7,Other,5.9,Uzbek,4.9,Russian,3.4,,
TLS,Timor-Leste,Tetum (Austronesian),31.5,Other Austronesian,19.3,Mambai,14.4,Makasae,9.6,Papuan (Fataluku/Bunak),8.6
TON,Tonga,Tongan,96.7,Part-Tongan / Other,3.4,,,,,,
TTO,Trinidad & Tobago,East Indian,37.2,African,33.4,Mixed,22.5,Other (incl. Chinese/Syrian),6.9,,
TUN,Tunisia,Arab,92.0,Haratin/Black Tunisian,2.8,Amazigh (Berber),1.9,European (Italian/French),1.2,Libyan refugee,1.1
TUR,Turkey,Turkish,65.8,Kurdish (Kurmanji),23.3,Other,5.0,Arab,2.7,Zaza,1.6
TUV,Tuvalu,Tuvaluan,95.6,Other,4.4,,,,,,
TZA,Tanzania,Other,40.8,Sukuma,15.5,Nyamwezi,5.0,Chagga,4.7,Njema,4.5
UGA,Uganda,Other,23.5,Baganda,16.0,Banyankole,9.3,Basoga,8.6,Bakiga,6.9
UKR,Ukraine,Ukrainian,81.3,Russian,13.6,Other,2.0,Roma,0.7,Romanian / Moldovan,0.6
URY,Uruguay,White (European),83.6,Other,6.7,Black,5.9,Indigenous,3.1,Asian,0.7
USA,USA,White non-Hispanic,44.5,Hispanic / Latino (Mexican),18.0,Black / African American,9.4,Multiracial,5.4,Asian (Indian),2.6
UZB,Uzbekistan,Uzbek,84.4,Tajik,4.7,Other,4.3,Kazakh,2.4,Karakalpak,2.1
VCT,St. Vincent & Grenadines,Black,66.9,Mixed,18.7,East Indian,5.8,Other,5.3,European,3.2
VEN,Venezuela,Mixed (Mestizo),54.4,White (European descent),35.8,Indigenous (Wayuu/Warao),3.8,Black,3.0,Other,2.0
VNM,Vietnam,Kinh (Viet),84.3,Other,4.7,Tay,2.1,Thai,2.1,Muong,1.7
VUT,Vanuatu,Ni-Vanuatu,97.4,Other (incl. Asian/European),2.6,,,,,,
WSM,Samoa,Samoan,95.6,Other,4.4,,,,,,
YEM,Yemen,Arab (Zaydi/Shafi'i),91.1,Akdam (muwalladeen),2.2,Somali (refugee/descendant),2.0,Other,1.6,Mahra/Socotri,1.6
ZAF,South Africa,Other Black African (Sotho/Pedi/Tswana/Venda/Tsonga),45.0,Zulu,22.2,Xhosa,15.8,Colored (Mixed),8.1,White (Afrikaner),3.9
ZMB,Zambia,Other,30.0,Bemba,20.4,Tonga,13.2,Chewa,7.2,Lozi,5.3
ZWE,Zimbabwe,Shona,70.8,Ndebele,19.5,Other Black African,4.8,Kalanga,2.9,Tonga,1.5
