ISO3,Country,Country_HDR2000,Rank_1998_HDR2000,HDI_1998_HDR2000,Coverage_Status,Data_Year,Report_Year,Methodology_Vintage,Source_Report,Source_Page,Source_PDF
HRV,Croatia,Croatia,49,0.795,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
GRC,Greece,Greece,25,0.875,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
LVA,Latvia,Latvia,63,0.771,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
SVK,Slovakia,Slovakia,40,0.825,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
CHL,Chile,Chile,38,0.826,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
PRT,Portugal,Portugal,28,0.864,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
KNA,Saint Kitts & Nevis,Saint Kitts and Nevis,47,0.798,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
MYS,Malaysia,Malaysia,61,0.772,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
ATG,Antigua & Barbuda,Antigua and Barbuda,37,0.833,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
URY,Uruguay,Uruguay,39,0.825,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
OMN,Oman,Oman,86,0.730,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
KAZ,Kazakhstan,Kazakhstan,73,0.754,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
BHS,Bahamas,Bahamas,33,0.844,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
SYC,Seychelles,Seychelles,53,0.786,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
PAN,Panama,Panama,59,0.776,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
CRI,Costa Rica,Costa Rica,48,0.797,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
