ISO3,Country,Country_HDR2000,Rank_1998_HDR2000,HDI_1998_HDR2000,Coverage_Status,Data_Year,Report_Year,Methodology_Vintage,Source_Report,Source_Page,Source_PDF
CPV,Cape Verde,Cape Verde,105,0.688,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
IRN,Iran,"Iran, Islamic Rep. of",97,0.709,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
MAR,Morocco,Morocco,124,0.589,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
UKR,Ukraine,Ukraine,78,0.744,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
ZAF,South Africa,South Africa,103,0.697,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
BGD,Bangladesh,Bangladesh,146,0.461,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
ECU,Ecuador,Ecuador,91,0.722,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
MHL,Marshall Islands,,,,Not ranked in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
BLZ,Belize,Belize,58,0.777,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
WSM,Samoa,Samoa (Western),95,0.711,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
NRU,Nauru,,,,Not ranked in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
BTN,Bhutan,Bhutan,142,0.483,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
MDA,Moldova,"Moldova, Rep. of",102,0.700,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
PRY,Paraguay,Paraguay,81,0.736,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
JAM,Jamaica,Jamaica,83,0.735,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
EGY,Egypt,Egypt,119,0.623,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
KGZ,Kyrgyzstan,Kyrgyzstan,98,0.706,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
DZA,Algeria,Algeria,107,0.683,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
TUV,Tuvalu,,,,Not ranked in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
NAM,Namibia,Namibia,115,0.632,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
TKM,Turkmenistan,Turkmenistan,100,0.704,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
GAB,Gabon,Gabon,123,0.592,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
GTM,Guatemala,Guatemala,120,0.619,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
NIC,Nicaragua,Nicaragua,116,0.631,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
SLV,El Salvador,El Salvador,104,0.696,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
BOL,Bolivia,Bolivia,114,0.643,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
LBY,Libya,Libyan Arab Jamahiriya,72,0.760,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
KIR,Kiribati,,,,Not ranked in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
SUR,Suriname,Suriname,67,0.766,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
TJK,Tajikistan,Tajikistan,110,0.663,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
LAO,Laos,Lao People’s Dem. Rep.,140,0.484,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
LBN,Lebanon,Lebanon,82,0.735,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
NPL,Nepal,Nepal,144,0.474,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
KHM,Cambodia,Cambodia,136,0.512,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
CUB,Cuba,Cuba,56,0.783,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
GHA,Ghana,Ghana,129,0.556,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
FSM,Micronesia,,,,Not ranked in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
HND,Honduras,Honduras,113,0.653,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
VUT,Vanuatu,Vanuatu,118,0.623,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
SWZ,Eswatini,Swaziland,112,0.655,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
GNQ,Equatorial Guinea,Equatorial Guinea,131,0.555,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
KEN,Kenya,Kenya,138,0.508,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
IRQ,Iraq,Iraq,126,0.583,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
NGA,Nigeria,Nigeria,151,0.439,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
SLB,Solomon Islands,Solomon Islands,121,0.614,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
VEN,Venezuela,Venezuela,65,0.770,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
TLS,Timor-Leste,,,,Not ranked in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
PSE,Palestine,,,,Not ranked in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
RWA,Rwanda,Rwanda,164,0.382,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
COG,Congo,Congo,139,0.507,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
STP,Sao Tome & Principe,São Tomé and Principe,132,0.547,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
PNG,Papua New Guinea,Papua New Guinea,133,0.542,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
MRT,Mauritania,Mauritania,147,0.451,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
PAK,Pakistan,Pakistan,135,0.522,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
CMR,Cameroon,Cameroon,134,0.528,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
UGA,Uganda,Uganda,158,0.409,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
TZA,Tanzania,"Tanzania, U. Rep. of",156,0.415,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
COM,Comoros,Comoros,137,0.510,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
MMR,Myanmar,Myanmar,125,0.585,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
SEN,Senegal,Senegal,155,0.416,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
AGO,Angola,Angola,160,0.405,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
ZMB,Zambia,Zambia,153,0.420,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
CIV,Cote d'Ivoire,Côte d’Ivoire,154,0.420,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
ZWE,Zimbabwe,Zimbabwe,130,0.555,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
DJI,Djibouti,Djibouti,149,0.447,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
TGO,Togo,Togo,145,0.471,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
HTI,Haiti,Haiti,150,0.440,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
LSO,Lesotho,Lesotho,127,0.569,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
SYR,Syria,Syrian Arab Republic,111,0.660,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
ETH,Ethiopia,Ethiopia,171,0.309,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
BEN,Benin,Benin,157,0.411,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
GMB,Gambia,Gambia,161,0.396,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
GNB,Guinea-Bissau,Guinea-Bissau,169,0.331,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
MWI,Malawi,Malawi,163,0.385,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
LBR,Liberia,,,,Not ranked in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
GIN,Guinea,Guinea,162,0.394,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
MDG,Madagascar,Madagascar,141,0.483,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
COD,Congo (DRC),"Congo, Dem. Rep. of the",152,0.430,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
MOZ,Mozambique,Mozambique,168,0.341,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
SDN,Sudan,Sudan,143,0.477,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
YEM,Yemen,Yemen,148,0.448,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
BDI,Burundi,Burundi,170,0.321,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
SLE,Sierra Leone,Sierra Leone,174,0.252,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
ERI,Eritrea,Eritrea,159,0.408,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
BFA,Burkina Faso,Burkina Faso,172,0.303,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
AFG,Afghanistan,,,,Not ranked in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
CAF,Central African Rep.,Central African Republic,166,0.371,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
MLI,Mali,Mali,165,0.380,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
NER,Niger,Niger,173,0.293,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
TCD,Chad,Chad,167,0.367,Published in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
SOM,Somalia,,,,Not ranked in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
SSD,South Sudan,,,,Not ranked in HDR 2000 Table 1,1998,2000,HDR 2000 report-vintage methodology,Human Development Report 2000: Human Rights and Human Development,https://hdr.undp.org/content/human-development-report-2000,https://digitallibrary.un.org/record/430778/files/hdr2000en.pdf
