country_id,mae,rmse,mean_error,n_years
ABW,0.005625394007952767,0.006145269235553527,0.00014677935820539556,10
AFG,0.0012780231655685147,0.001539337220306981,-0.00019478939636345395,10
AGO,0.001504504198098089,0.0018016220455297877,-0.00025672615786422883,10
ALB,0.0015276121374518392,0.0017783714835667272,0.000575413032076566,10
AND,0.0018577791054079974,0.0028121235277802554,0.00020398095566697138,10
ARE,0.002621385534320875,0.003592690790095379,-0.00029029096114638884,10
ARG,0.0013614475415625992,0.0019125474878749207,-0.0011401660110805123,10
ARM,0.003377381924695799,0.004002779673452408,-0.0005675586139069488,10
ASM,0.0011048363507373039,0.0013345870582888936,3.0461899929812296e-05,10
ATG,0.004890385003624942,0.006895388586837083,-0.0004621886567531486,10
AUS,0.0009769940924768904,0.0011066002437204495,-0.00010862368733417504,10
AUT,0.0021920811047134057,0.002649805633000796,0.0021920811047134057,10
AZE,0.0020532992572149357,0.002602361085571876,0.00023183251533644977,10
BDI,0.001004157768010594,0.001391388532324728,0.00017368089463731806,10
BEL,0.0010739848034618138,0.0014199848277062464,-6.221771921488539e-06,10
BEN,0.0023725472257958404,0.0027283753518364427,0.0014582741904916262,10
BFA,0.001973716096863881,0.0026728576676931176,-0.0007250790086808234,10
BGD,0.0009627939616149272,0.0012594521049229016,0.00010667697853311564,10
BGR,0.001524476531826613,0.0019802389076158658,0.0006846876598610496,10
BHR,0.0029280151865940574,0.004471686960471024,-0.0006803741536345886,10
BHS,0.002758614141372284,0.0032846301508967675,0.0008121417231290229,10
BIH,0.0021842236760497014,0.0024243528680035816,0.0013808331247611495,10
BLR,0.0018891791474994202,0.0023652054850334526,0.0006575425351563302,10
BLZ,0.0010194285792338499,0.0013833886507553874,-0.0003246218377058963,10
BMU,0.001689136863376517,0.001982302186086191,-0.00056966240593056,10
BOL,0.002044476517637517,0.002805042319160525,-0.0006509250138285183,10
BRA,0.0019640845713770226,0.0026867851345044958,0.0014054245814935085,10
BRB,0.002849313216225768,0.003208787567311659,-0.0021465879680754975,10
BRN,0.0021839914159668904,0.002507528904948028,0.0013931851839931286,10
BTN,0.0007075290469521045,0.0008020488026401386,-3.11173177643953e-05,10
BWA,0.0013594616088868695,0.0017390838054213945,-0.00023435968261396046,10
CAF,0.005108037095788859,0.00741788080372248,0.0012910685393602793,10
CAN,0.0007137735864484074,0.0009183587259551596,7.703306155556477e-05,10
CHE,0.0011185729502647846,0.0014920814361757096,-0.00014958231281672063,10
CHI,0.0011162831978951294,0.0013538846414153244,0.0004008136752563618,10
CHL,0.003033234082028069,0.003289877473451572,0.0028525910222263915,10
CHN,0.0023815377596009047,0.0030612219080926356,0.00122047682061881,10
CIV,0.002251336913969992,0.0026034274159298307,-0.0002377674198546842,10
CMR,0.0016353617649714324,0.0019045228123512478,0.00022525114295406378,10
COD,0.0015759247694750234,0.0020981591923432143,0.00031087321579881255,10
COG,0.0015096688619234745,0.0017649592975165311,-0.00031787258184992064,10
COL,0.0013971260247663154,0.0019452135337332064,0.0011341990823056313,10
COM,0.001627612019643143,0.002029637848196713,-0.0005368202942260148,10
CPV,0.0012972864405789042,0.001567766617112434,0.0005641487840450821,10
CRI,0.0020851557598086544,0.002712757331153416,0.0010676926138502463,10
CUB,0.0014696688075716668,0.0019957557204641056,-0.001018596360973656,10
CUW,0.0032042406989332807,0.003911296063588635,0.0003851393645739609,10
CYM,0.0010408949658412213,0.0012598585558335038,0.00043866350603593006,10
CYP,0.0010800515276580657,0.0012153818852486927,0.0006801968418485904,10
CZE,0.0012085431599986429,0.0015922313597993819,0.00012205729884370297,10
DEU,0.0009283387075987637,0.0012161353783043392,0.0003468990711327002,10
DJI,0.0012454845930578995,0.0018013912398296373,-0.00041482157215472215,10
DMA,0.0031434277225343755,0.004402814207033069,-0.0006953868934036267,10
DNK,0.0009692966806991721,0.0011313119821297199,7.188137930590477e-05,10
DOM,0.0020134669559916827,0.0023166610853267043,-0.00011645101407852243,10
DZA,0.002963914216818031,0.0036223655519405378,-6.258323398564692e-05,10
ECU,0.0028971705754531453,0.003558806365888224,0.0015589614150769537,10
EGY,0.0011242687515655935,0.0014394911360542158,-0.0005599988707888804,10
ERI,0.001615887137573252,0.0020742698687099925,0.0005051610173850196,10
ESP,0.003491720461480152,0.003706281914329371,0.003491720461480152,10
EST,0.0008029448717283172,0.0010818975411792074,0.00026544592876907023,10
ETH,0.0016911855569984036,0.002053889910311831,-0.000162171475754741,10
FIN,0.0008138653749291569,0.0009473305349151188,9.633523195395899e-05,10
FJI,0.0024900495930251566,0.0032111174155488175,-0.0009689856689039433,10
FRA,0.0009502342665171027,0.0012320733976634148,0.0002039837101120323,10
FRO,0.0010326304230189542,0.0014655067346039969,-0.0005404140321197293,10
FSM,0.0011990841862118073,0.001629672699104406,-0.000852788495408896,10
GAB,0.001575254023329531,0.00200797631210195,-0.0007668757104927093,10
